"PriorityRank","InstallKey","ComponentSerial","ComponentCode","ComponentName","Criticality","TailNumber","BaseCode","BaseName","PositionNo","InstalledDate","FlightHours","StressHours","IntervalFlightHours","IntervalStressHours","PctOfHourInterval","PctOfStressInterval","IsOverdueByHours","IsOverdueByStress","IsHiddenOverdue","StressPerFlightHour","RemainingStressHours","ProjectedFlightHoursToStressLimit","LeadTimeFlightHours","ActionCode","JobHours","CumulativeJobHours","IsThisWeek","RecommendedAction"
"65","1162","ROTOR-ASSY-00421","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-023","COASTAL","Coastal Survey Base","4","1/30/2026 12:00:00 AM","144.9000","173.6421","150.0","150.0","96.60","115.76","0","1","1","1.2827","-23.6421","-18.43","18.0","GROUND_AND_REPLACE","4.5","292.50","0","Ground MU-023. Rotor assembly and bearing at position 4 is at 115.76% of its stress interval while reading 96.60% on the hour meter."
"66","746","ROTOR-ASSY-00268","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-015","PORT","Port Logistics Hub","3","5/27/2026 12:00:00 AM","89.5333","173.6418","150.0","150.0","59.69","115.76","0","1","1","1.9216","-23.6418","-12.30","18.0","GROUND_AND_REPLACE","4.5","297.00","0","Ground MU-015. Rotor assembly and bearing at position 3 is at 115.76% of its stress interval while reading 59.69% on the hour meter."
"67","1023","ROTOR-ASSY-00368","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-020","HIGHLND","Highland Operations","3","6/6/2026 12:00:00 AM","77.2831","171.9613","150.0","150.0","51.52","114.64","0","1","1","2.2582","-21.9613","-9.73","18.0","GROUND_AND_REPLACE","4.5","301.50","0","Ground MU-020. Rotor assembly and bearing at position 3 is at 114.64% of its stress interval while reading 51.52% on the hour meter."
"68","1099","ROTOR-ASSY-00390","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-022","COASTAL","Coastal Survey Base","1","1/27/2026 12:00:00 AM","138.9170","171.9201","150.0","150.0","92.61","114.61","0","1","1","1.2703","-21.9201","-17.26","18.0","GROUND_AND_REPLACE","4.5","306.00","0","Ground MU-022. Rotor assembly and bearing at position 1 is at 114.61% of its stress interval while reading 92.61% on the hour meter."
"69","881","MOTOR-ESC-00244","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-018","HIGHLND","Highland Operations","3","3/27/2026 12:00:00 AM","100.9170","218.5197","200.0","200.0","50.46","109.26","0","1","1","2.1969","-18.5197","-8.43","12.0","GROUND_AND_REPLACE","4.5","310.50","0","Ground MU-018. Motor and speed controller at position 3 is at 109.26% of its stress interval while reading 50.46% on the hour meter."
"70","1119","BATT-PACK-00242","BATT-PACK","Main battery pack","FlightCritical","MU-023","COASTAL","Coastal Survey Base","1","3/10/2026 12:00:00 AM","113.8331","138.4921","120.0","120.0","94.86","115.41","0","1","1","1.2827","-18.4921","-14.42","8.0","GROUND_AND_REPLACE","4.5","315.00","0","Ground MU-023. Main battery pack at position 1 is at 115.41% of its stress interval while reading 94.86% on the hour meter."
"71","1383","BATT-PACK-00298","BATT-PACK","Main battery pack","FlightCritical","MU-028","ACADEMY","Training Academy","2","3/6/2026 12:00:00 AM","73.9667","135.1654","120.0","120.0","61.64","112.64","0","1","1","1.7297","-15.1654","-8.77","8.0","GROUND_AND_REPLACE","4.5","319.50","0","Ground MU-028. Main battery pack at position 2 is at 112.64% of its stress interval while reading 61.64% on the hour meter."
"72","726","MOTOR-ESC-00202","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-015","PORT","Port Logistics Hub","3","5/1/2026 12:00:00 AM","108.3834","214.7138","200.0","200.0","54.19","107.36","0","1","1","1.9216","-14.7138","-7.66","12.0","GROUND_AND_REPLACE","4.5","324.00","0","Ground MU-015. Motor and speed controller at position 3 is at 107.36% of its stress interval while reading 54.19% on the hour meter."
"73","1062","ROTOR-ASSY-00383","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-021","ACADEMY","Training Academy","3","2/10/2026 12:00:00 AM","88.8836","164.3986","150.0","150.0","59.26","109.60","0","1","1","1.9149","-14.3986","-7.52","18.0","GROUND_AND_REPLACE","4.5","328.50","0","Ground MU-021. Rotor assembly and bearing at position 3 is at 109.60% of its stress interval while reading 59.26% on the hour meter."
"74","1509","BATT-PACK-00322","BATT-PACK","Main battery pack","FlightCritical","MU-031","COASTAL","Coastal Survey Base","1","3/25/2026 12:00:00 AM","117.0499","134.0764","120.0","120.0","97.54","111.73","0","1","1","1.1562","-14.0764","-12.17","8.0","GROUND_AND_REPLACE","4.5","333.00","0","Ground MU-031. Main battery pack at position 1 is at 111.73% of its stress interval while reading 97.54% on the hour meter."
"75","93","MOTOR-ESC-00030","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-002","HIGHLND","Highland Operations","4","5/18/2026 12:00:00 AM","94.6001","213.5546","200.0","200.0","47.30","106.78","0","1","1","2.2807","-13.5546","-5.94","12.0","GROUND_AND_REPLACE","4.5","337.50","0","Ground MU-002. Motor and speed controller at position 4 is at 106.78% of its stress interval while reading 47.30% on the hour meter."
"76","946","MOTOR-ESC-00261","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-019","PORT","Port Logistics Hub","3","4/8/2026 12:00:00 AM","111.5665","212.1741","200.0","200.0","55.78","106.09","0","1","1","1.8879","-12.1741","-6.45","12.0","GROUND_AND_REPLACE","4.5","342.00","0","Ground MU-019. Motor and speed controller at position 3 is at 106.09% of its stress interval while reading 55.78% on the hour meter."
"77","1103","ROTOR-ASSY-00394","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-022","COASTAL","Coastal Survey Base","2","2/10/2026 12:00:00 AM","129.2670","162.0301","150.0","150.0","86.18","108.02","0","1","1","1.2703","-12.0301","-9.47","18.0","GROUND_AND_REPLACE","4.5","346.50","0","Ground MU-022. Rotor assembly and bearing at position 2 is at 108.02% of its stress interval while reading 86.18% on the hour meter."
"78","1107","ROTOR-ASSY-00398","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-022","COASTAL","Coastal Survey Base","3","2/10/2026 12:00:00 AM","129.2670","162.0301","150.0","150.0","86.18","108.02","0","1","1","1.2703","-12.0301","-9.47","18.0","GROUND_AND_REPLACE","4.5","351.00","0","Ground MU-022. Rotor assembly and bearing at position 3 is at 108.02% of its stress interval while reading 86.18% on the hour meter."
"79","13","BATT-PACK-00012","BATT-PACK","Main battery pack","FlightCritical","MU-001","PORT","Port Logistics Hub","2","6/19/2026 12:00:00 AM","63.7670","131.7722","120.0","120.0","53.14","109.81","0","1","1","2.0638","-11.7722","-5.70","8.0","GROUND_AND_REPLACE","4.5","355.50","0","Ground MU-001. Main battery pack at position 2 is at 109.81% of its stress interval while reading 53.14% on the hour meter."
"80","581","MOTOR-ESC-00161","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-012","COASTAL","Coastal Survey Base","2","12/12/2025 12:00:00 AM","177.5831","210.6598","200.0","200.0","88.79","105.33","0","1","1","1.0819","-10.6598","-9.85","12.0","GROUND_AND_REPLACE","4.5","360.00","0","Ground MU-012. Motor and speed controller at position 2 is at 105.33% of its stress interval while reading 88.79% on the hour meter."
"81","1483","MOTOR-ESC-00410","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-030","PORT","Port Logistics Hub","3","5/12/2026 12:00:00 AM","102.5166","209.8052","200.0","200.0","51.26","104.90","0","1","1","1.9627","-9.8052","-5.00","12.0","GROUND_AND_REPLACE","4.5","364.50","0","Ground MU-030. Motor and speed controller at position 3 is at 104.90% of its stress interval while reading 51.26% on the hour meter."
"82","1389","MOTOR-ESC-00380","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-028","ACADEMY","Training Academy","1","11/13/2025 12:00:00 AM","115.1166","207.2329","200.0","200.0","57.56","103.62","0","1","1","1.7297","-7.2329","-4.18","12.0","GROUND_AND_REPLACE","4.5","369.00","0","Ground MU-028. Motor and speed controller at position 1 is at 103.62% of its stress interval while reading 57.56% on the hour meter."
"83","1391","MOTOR-ESC-00382","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-028","ACADEMY","Training Academy","2","11/13/2025 12:00:00 AM","115.1166","207.2329","200.0","200.0","57.56","103.62","0","1","1","1.7297","-7.2329","-4.18","12.0","GROUND_AND_REPLACE","4.5","373.50","0","Ground MU-028. Motor and speed controller at position 2 is at 103.62% of its stress interval while reading 57.56% on the hour meter."
"84","1393","MOTOR-ESC-00384","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-028","ACADEMY","Training Academy","3","11/13/2025 12:00:00 AM","115.1166","207.2329","200.0","200.0","57.56","103.62","0","1","1","1.7297","-7.2329","-4.18","12.0","GROUND_AND_REPLACE","4.5","378.00","0","Ground MU-028. Motor and speed controller at position 3 is at 103.62% of its stress interval while reading 57.56% on the hour meter."
"85","1395","MOTOR-ESC-00386","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-028","ACADEMY","Training Academy","4","11/13/2025 12:00:00 AM","115.1166","207.2329","200.0","200.0","57.56","103.62","0","1","1","1.7297","-7.2329","-4.18","12.0","GROUND_AND_REPLACE","4.5","382.50","0","Ground MU-028. Motor and speed controller at position 4 is at 103.62% of its stress interval while reading 57.56% on the hour meter."
"86","387","ROTOR-ASSY-00134","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-008","HIGHLND","Highland Operations","1","6/4/2026 12:00:00 AM","72.5831","157.1948","150.0","150.0","48.39","104.80","0","1","1","2.3105","-7.1948","-3.11","18.0","GROUND_AND_REPLACE","4.5","387.00","0","Ground MU-008. Rotor assembly and bearing at position 1 is at 104.80% of its stress interval while reading 48.39% on the hour meter."
"87","167","BATT-PACK-00044","BATT-PACK","Main battery pack","FlightCritical","MU-004","COASTAL","Coastal Survey Base","2","4/8/2026 12:00:00 AM","111.2331","126.5973","120.0","120.0","92.69","105.50","0","1","1","1.1001","-6.5973","-6.00","8.0","GROUND_AND_REPLACE","4.5","391.50","0","Ground MU-004. Main battery pack at position 2 is at 105.50% of its stress interval while reading 92.69% on the hour meter."
"88","765","BATT-PACK-00172","BATT-PACK","Main battery pack","FlightCritical","MU-016","PORT","Port Logistics Hub","2","6/19/2026 12:00:00 AM","65.0666","126.5500","120.0","120.0","54.22","105.46","0","1","1","1.9188","-6.5500","-3.41","8.0","GROUND_AND_REPLACE","4.5","396.00","0","Ground MU-016. Main battery pack at position 2 is at 105.46% of its stress interval while reading 54.22% on the hour meter."
"89","974","ROTOR-ASSY-00354","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-019","PORT","Port Logistics Hub","4","5/23/2026 12:00:00 AM","81.0666","154.3881","150.0","150.0","54.04","102.93","0","1","1","1.8879","-4.3881","-2.32","18.0","GROUND_AND_REPLACE","4.5","400.50","0","Ground MU-019. Rotor assembly and bearing at position 4 is at 102.93% of its stress interval while reading 54.04% on the hour meter."
"90","1432","MOTOR-ESC-00393","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-029","COASTAL","Coastal Survey Base","2","11/10/2025 12:00:00 AM","173.1999","200.5344","200.0","200.0","86.60","100.27","0","1","1","1.1733","-0.5344","-0.46","12.0","GROUND_AND_REPLACE","4.5","405.00","0","Ground MU-029. Motor and speed controller at position 2 is at 100.27% of its stress interval while reading 86.60% on the hour meter."
"91","1072","BATT-PACK-00231","BATT-PACK","Main battery pack","FlightCritical","MU-022","COASTAL","Coastal Survey Base","1","4/10/2026 12:00:00 AM","96.7337","118.7168","120.0","120.0","80.61","98.93","0","0","0","1.2703","1.2832","1.01","8.0","ORDER_PART_NOW","0.0","405.00","0","Order a Main battery pack for MU-022. Projected to reach its stress limit in 1.01 flight hours against a 8.0 hour lead time."
"92","1234","BATT-PACK-00273","BATT-PACK","Main battery pack","FlightCritical","MU-025","HIGHLND","Highland Operations","2","6/29/2026 12:00:00 AM","53.5334","116.2643","120.0","120.0","44.61","96.89","0","0","0","2.1718","3.7357","1.72","8.0","ORDER_PART_NOW","0.0","405.00","0","Order a Main battery pack for MU-025. Projected to reach its stress limit in 1.72 flight hours against a 8.0 hour lead time."
"93","1334","BATT-PACK-00291","BATT-PACK","Main battery pack","FlightCritical","MU-027","HIGHLND","Highland Operations","2","7/9/2026 12:00:00 AM","58.4668","115.6889","120.0","120.0","48.72","96.41","0","0","0","1.9080","4.3111","2.26","8.0","ORDER_PART_NOW","0.0","405.00","0","Order a Main battery pack for MU-027. Projected to reach its stress limit in 2.26 flight hours against a 8.0 hour lead time."
"94","1055","ROTOR-ASSY-00376","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-021","ACADEMY","Training Academy","1","3/11/2026 12:00:00 AM","78.6838","144.8719","150.0","150.0","52.46","96.58","0","0","0","1.9149","5.1281","2.68","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-021. Projected to reach its stress limit in 2.68 flight hours against a 18.0 hour lead time."
"95","1065","ROTOR-ASSY-00386","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-021","ACADEMY","Training Academy","4","3/11/2026 12:00:00 AM","78.6838","144.8719","150.0","150.0","52.46","96.58","0","0","0","1.9149","5.1281","2.68","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-021. Projected to reach its stress limit in 2.68 flight hours against a 18.0 hour lead time."
"96","810","ROTOR-ASSY-00296","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-016","PORT","Port Logistics Hub","4","6/6/2026 12:00:00 AM","75.1333","144.7524","150.0","150.0","50.09","96.50","0","0","0","1.9188","5.2476","2.73","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-016. Projected to reach its stress limit in 2.73 flight hours against a 18.0 hour lead time."
"97","549","ROTOR-ASSY-00195","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-011","HIGHLND","Highland Operations","2","6/24/2026 12:00:00 AM","65.2332","143.0205","150.0","150.0","43.49","95.35","0","0","0","2.1761","6.9795","3.21","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-011. Projected to reach its stress limit in 3.21 flight hours against a 18.0 hour lead time."
"98","708","BATT-PACK-00160","BATT-PACK","Main battery pack","FlightCritical","MU-015","PORT","Port Logistics Hub","2","7/7/2026 12:00:00 AM","57.8334","112.4564","120.0","120.0","48.19","93.71","0","0","0","1.9216","7.5436","3.93","8.0","ORDER_PART_NOW","0.0","405.00","0","Order a Main battery pack for MU-015. Projected to reach its stress limit in 3.93 flight hours against a 8.0 hour lead time."
"99","336","ROTOR-ASSY-00120","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-007","ACADEMY","Training Academy","1","3/14/2026 12:00:00 AM","79.1998","142.6207","150.0","150.0","52.80","95.08","0","0","0","1.7137","7.3793","4.31","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-007. Projected to reach its stress limit in 4.31 flight hours against a 18.0 hour lead time."
"100","1479","MOTOR-ESC-00406","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-030","PORT","Port Logistics Hub","2","5/25/2026 12:00:00 AM","93.2499","190.7085","200.0","200.0","46.62","95.35","0","0","0","1.9627","9.2915","4.73","12.0","ORDER_PART_NOW","0.0","405.00","0","Order a Motor and speed controller for MU-030. Projected to reach its stress limit in 4.73 flight hours against a 12.0 hour lead time."
"101","1033","BATT-PACK-00222","BATT-PACK","Main battery pack","FlightCritical","MU-021","ACADEMY","Training Academy","1","5/6/2026 12:00:00 AM","58.3004","109.3051","120.0","120.0","48.58","91.09","0","0","0","1.9149","10.6949","5.59","8.0","ORDER_PART_NOW","0.0","405.00","0","Order a Main battery pack for MU-021. Projected to reach its stress limit in 5.59 flight hours against a 8.0 hour lead time."
"102","649","BATT-PACK-00141","BATT-PACK","Main battery pack","FlightCritical","MU-014","PORT","Port Logistics Hub","1","6/30/2026 12:00:00 AM","57.4667","108.9013","120.0","120.0","47.89","90.75","0","0","0","1.8671","11.0987","5.94","8.0","ORDER_PART_NOW","0.0","405.00","0","Order a Main battery pack for MU-014. Projected to reach its stress limit in 5.94 flight hours against a 8.0 hour lead time."
"103","655","BATT-PACK-00147","BATT-PACK","Main battery pack","FlightCritical","MU-014","PORT","Port Logistics Hub","2","6/30/2026 12:00:00 AM","57.4667","108.9013","120.0","120.0","47.89","90.75","0","0","0","1.8671","11.0987","5.94","8.0","ORDER_PART_NOW","0.0","405.00","0","Order a Main battery pack for MU-014. Projected to reach its stress limit in 5.94 flight hours against a 8.0 hour lead time."
"104","1494","ROTOR-ASSY-00536","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-030","PORT","Port Logistics Hub","2","7/1/2026 12:00:00 AM","69.0001","138.2596","150.0","150.0","46.00","92.17","0","0","0","1.9627","11.7404","5.98","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-030. Projected to reach its stress limit in 5.98 flight hours against a 18.0 hour lead time."
"105","1380","BATT-PACK-00295","BATT-PACK","Main battery pack","FlightCritical","MU-028","ACADEMY","Training Academy","1","4/15/2026 12:00:00 AM","59.6000","106.7775","120.0","120.0","49.67","88.98","0","0","0","1.7297","13.2225","7.64","8.0","ORDER_PART_NOW","0.0","405.00","0","Order a Main battery pack for MU-028. Projected to reach its stress limit in 7.64 flight hours against a 8.0 hour lead time."
"106","302","ROTOR-ASSY-00108","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-006","COASTAL","Coastal Survey Base","2","3/7/2026 12:00:00 AM","116.9335","139.1851","150.0","150.0","77.96","92.79","0","0","0","1.0800","10.8149","10.01","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-006. Projected to reach its stress limit in 10.01 flight hours against a 18.0 hour lead time."
"107","175","MOTOR-ESC-00043","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-004","COASTAL","Coastal Survey Base","1","1/6/2026 12:00:00 AM","164.4330","188.2434","200.0","200.0","82.22","94.12","0","0","0","1.1001","11.7566","10.69","12.0","ORDER_PART_NOW","0.0","405.00","0","Order a Motor and speed controller for MU-004. Projected to reach its stress limit in 10.69 flight hours against a 12.0 hour lead time."
"108","178","MOTOR-ESC-00046","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-004","COASTAL","Coastal Survey Base","2","1/6/2026 12:00:00 AM","164.4330","188.2434","200.0","200.0","82.22","94.12","0","0","0","1.1001","11.7566","10.69","12.0","ORDER_PART_NOW","0.0","405.00","0","Order a Motor and speed controller for MU-004. Projected to reach its stress limit in 10.69 flight hours against a 12.0 hour lead time."
"109","181","MOTOR-ESC-00049","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-004","COASTAL","Coastal Survey Base","3","1/6/2026 12:00:00 AM","164.4330","188.2434","200.0","200.0","82.22","94.12","0","0","0","1.1001","11.7566","10.69","12.0","ORDER_PART_NOW","0.0","405.00","0","Order a Motor and speed controller for MU-004. Projected to reach its stress limit in 10.69 flight hours against a 12.0 hour lead time."
"110","184","MOTOR-ESC-00052","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-004","COASTAL","Coastal Survey Base","4","1/6/2026 12:00:00 AM","164.4330","188.2434","200.0","200.0","82.22","94.12","0","0","0","1.1001","11.7566","10.69","12.0","ORDER_PART_NOW","0.0","405.00","0","Order a Motor and speed controller for MU-004. Projected to reach its stress limit in 10.69 flight hours against a 12.0 hour lead time."
"111","1014","ROTOR-ASSY-00359","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-020","HIGHLND","Highland Operations","1","7/3/2026 12:00:00 AM","56.5997","124.6361","150.0","150.0","37.73","83.09","0","0","0","2.2582","25.3639","11.23","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-020. Projected to reach its stress limit in 11.23 flight hours against a 18.0 hour lead time."
"112","49","ROTOR-ASSY-00015","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-001","PORT","Port Logistics Hub","3","6/29/2026 12:00:00 AM","56.6336","117.2555","150.0","150.0","37.76","78.17","0","0","0","2.0638","32.7445","15.87","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-001. Projected to reach its stress limit in 15.87 flight hours against a 18.0 hour lead time."
"113","104","ROTOR-ASSY-00031","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-002","HIGHLND","Highland Operations","2","7/24/2026 12:00:00 AM","50.1499","113.4683","150.0","150.0","33.43","75.65","0","0","0","2.2807","36.5317","16.02","18.0","ORDER_PART_NOW","0.0","405.00","0","Order a Rotor assembly and bearing for MU-002. Projected to reach its stress limit in 16.02 flight hours against a 18.0 hour lead time."
"114","886","MOTOR-ESC-00249","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-018","HIGHLND","Highland Operations","4","5/18/2026 12:00:00 AM","74.8835","163.2938","200.0","200.0","37.44","81.65","0","0","0","2.1969","36.7062","16.71","12.0","SCHEDULE_THIS_MONTH","4.5","409.50","0","Schedule MU-018 within the month. Motor and speed controller projected to reach its stress limit in 16.71 flight hours."
"115","162","BATT-PACK-00039","BATT-PACK","Main battery pack","FlightCritical","MU-004","COASTAL","Coastal Survey Base","1","5/20/2026 12:00:00 AM","88.4664","101.1466","120.0","120.0","73.72","84.29","0","0","0","1.1001","18.8534","17.14","8.0","SCHEDULE_THIS_MONTH","4.5","414.00","0","Schedule MU-004 within the month. Main battery pack projected to reach its stress limit in 17.14 flight hours."
"116","290","MOTOR-ESC-00080","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-006","COASTAL","Coastal Survey Base","3","1/6/2026 12:00:00 AM","155.8503","180.8085","200.0","200.0","77.93","90.40","0","0","0","1.0800","19.1915","17.77","12.0","SCHEDULE_THIS_MONTH","4.5","418.50","0","Schedule MU-006 within the month. Motor and speed controller projected to reach its stress limit in 17.77 flight hours."
"117","293","MOTOR-ESC-00083","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-006","COASTAL","Coastal Survey Base","4","1/6/2026 12:00:00 AM","155.8503","180.8085","200.0","200.0","77.93","90.40","0","0","0","1.0800","19.1915","17.77","12.0","SCHEDULE_THIS_MONTH","4.5","423.00","0","Schedule MU-006 within the month. Motor and speed controller projected to reach its stress limit in 17.77 flight hours."
"118","1059","ROTOR-ASSY-00380","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-021","ACADEMY","Training Academy","2","4/27/2026 12:00:00 AM","62.3004","114.8080","150.0","150.0","41.53","76.54","0","0","0","1.9149","35.1920","18.38","18.0","SCHEDULE_THIS_MONTH","4.5","427.50","0","Schedule MU-021 within the month. Rotor assembly and bearing projected to reach its stress limit in 18.38 flight hours."
"119","188","ROTOR-ASSY-00061","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-004","COASTAL","Coastal Survey Base","1","4/6/2026 12:00:00 AM","112.2831","128.2541","150.0","150.0","74.86","85.50","0","0","0","1.1001","21.7459","19.77","18.0","SCHEDULE_THIS_MONTH","4.5","432.00","0","Schedule MU-004 within the month. Rotor assembly and bearing projected to reach its stress limit in 19.77 flight hours."
"120","192","ROTOR-ASSY-00065","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-004","COASTAL","Coastal Survey Base","2","4/6/2026 12:00:00 AM","112.2831","128.2541","150.0","150.0","74.86","85.50","0","0","0","1.1001","21.7459","19.77","18.0","SCHEDULE_THIS_MONTH","4.5","436.50","0","Schedule MU-004 within the month. Rotor assembly and bearing projected to reach its stress limit in 19.77 flight hours."
"121","759","BATT-PACK-00166","BATT-PACK","Main battery pack","FlightCritical","MU-016","PORT","Port Logistics Hub","1","7/11/2026 12:00:00 AM","43.4668","81.7112","120.0","120.0","36.22","68.09","0","0","0","1.9188","38.2888","19.95","8.0","SCHEDULE_THIS_MONTH","4.5","441.00","0","Schedule MU-016 within the month. Main battery pack projected to reach its stress limit in 19.95 flight hours."
"122","116","ROTOR-ASSY-00043","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-002","HIGHLND","Highland Operations","4","7/29/2026 12:00:00 AM","45.2499","102.6564","150.0","150.0","30.17","68.44","0","0","0","2.2807","47.3436","20.76","18.0","SCHEDULE_THIS_MONTH","4.5","445.50","0","Schedule MU-002 within the month. Rotor assembly and bearing projected to reach its stress limit in 20.76 flight hours."
"123","1009","MOTOR-ESC-00282","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-020","HIGHLND","Highland Operations","4","6/12/2026 12:00:00 AM","68.5165","150.9835","200.0","200.0","34.26","75.49","0","0","0","2.2582","49.0165","21.71","12.0","SCHEDULE_THIS_MONTH","4.5","450.00","0","Schedule MU-020 within the month. Motor and speed controller projected to reach its stress limit in 21.71 flight hours."
"124","938","MOTOR-ESC-00253","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-019","PORT","Port Logistics Hub","1","5/23/2026 12:00:00 AM","81.0666","154.3881","200.0","200.0","40.53","77.19","0","0","0","1.8879","45.6119","24.16","12.0","SCHEDULE_THIS_MONTH","4.5","454.50","0","Schedule MU-019 within the month. Motor and speed controller projected to reach its stress limit in 24.16 flight hours."
"125","942","MOTOR-ESC-00257","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-019","PORT","Port Logistics Hub","2","5/23/2026 12:00:00 AM","81.0666","154.3881","200.0","200.0","40.53","77.19","0","0","0","1.8879","45.6119","24.16","12.0","SCHEDULE_THIS_MONTH","4.5","459.00","0","Schedule MU-019 within the month. Motor and speed controller projected to reach its stress limit in 24.16 flight hours."
"126","1447","ROTOR-ASSY-00519","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-029","COASTAL","Coastal Survey Base","2","4/15/2026 12:00:00 AM","101.3666","121.0620","150.0","150.0","67.58","80.71","0","0","0","1.1733","28.9380","24.66","18.0","SCHEDULE_THIS_MONTH","4.5","463.50","0","Schedule MU-029 within the month. Rotor assembly and bearing projected to reach its stress limit in 24.66 flight hours."
"127","70","BATT-PACK-00026","BATT-PACK","Main battery pack","FlightCritical","MU-002","HIGHLND","Highland Operations","2","8/20/2026 12:00:00 AM","26.8333","62.2549","120.0","120.0","22.36","51.88","0","0","0","2.2807","57.7451","25.32","8.0","SCHEDULE_THIS_MONTH","4.5","468.00","0","Schedule MU-002 within the month. Main battery pack projected to reach its stress limit in 25.32 flight hours."
"128","957","ROTOR-ASSY-00337","ROTOR-ASSY","Rotor assembly and bearing","FlightCritical","MU-019","PORT","Port Logistics Hub","1","7/10/2026 12:00:00 AM","53.0499","98.9016","150.0","150.0","35.37","65.93","0","0","0","1.8879","51.0984","27.07","18.0","SCHEDULE_THIS_MONTH","4.5","472.50","0","Schedule MU-019 within the month. Rotor assembly and bearing projected to reach its stress limit in 27.07 flight hours."
"129","1256","MOTOR-ESC-00348","MOTOR-ESC","Motor and speed controller","FlightCritical","MU-025","HIGHLND","Highland Operations","3","6/2/2026 12:00:00 AM","65.2001","140.2106","200.0","200.0","32.60","70.11","0","0","0","2.1718","59.7894","27.53","12.0","SCHEDULE_THIS_MONTH","4.5","477.00","0","Schedule MU-025 within the month. Motor and speed controller projected to reach its stress limit in 27.53 flight hours."
"130","570","BATT-PACK-00126","BATT-PACK","Main battery pack","FlightCritical","MU-012","COASTAL","Coastal Survey Base","2","6/18/2026 12:00:00 AM","76.2664","89.6408","120.0","120.0","63.56","74.70","0","0","0","1.0819","30.3592","28.06","8.0","SCHEDULE_THIS_MONTH","4.5","481.50","0","Schedule MU-012 within the month. Main battery pack projected to reach its stress limit in 28.06 flight hours."
