"PromiseNo","CustomerID","CustomerName","RiskTier","Segment","CollectorName","PromiseMadeDate","PromisedPayDate","PromisedAmount","CashInWindow","PctOfPromise","DaysSincePromised","PromiseStatus"
"PTP-000332","C0299","Silverline Industries","Low","OEM Manufacturer","Marcus Bell","2025-04-02","2025-04-20","1593.19","8481.03","532.33","255","Kept"
"PTP-000334","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-03-29","2025-04-21","3232.23","0.00","0.00","254","Broken"
"PTP-000333","C0017","Silverline Fabrication","Low","OEM Manufacturer","Priya Natarajan","2025-04-08","2025-04-21","5575.55","13306.48","238.66","254","Kept"
"PTP-000335","C0366","Westbrook Industries - West","Medium","OEM Manufacturer","Marcus Bell","2025-04-11","2025-04-21","4062.44","6887.26","169.54","254","Kept"
"PTP-000336","C0395","Northfield MRO Services","Low","MRO Reseller","Sam Horowitz","2025-04-14","2025-04-21","1026.92","6779.51","660.18","254","Kept"
"PTP-000341","C0384","Riverbend Industries - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-04-13","2025-04-22","3611.87","9901.25","274.13","253","Kept"
"PTP-000337","C0073","Lakeshore Manufacturing","High","OEM Manufacturer","Priya Natarajan","2025-04-10","2025-04-22","8203.32","21668.64","264.14","253","Kept"
"PTP-000338","C0260","Harbor Industrial Supply","High","MRO Reseller","Grace Lindqvist","2025-04-15","2025-04-22","2266.98","2345.82","103.48","253","Kept"
"PTP-000339","C0267","Redline Manufacturing - Southwest","Low","OEM Manufacturer","Marcus Bell","2025-04-13","2025-04-22","5547.29","6069.26","109.41","253","Kept"
"PTP-000340","C0289","Apex Builders - West","Low","Contractor","Tomas Okafor","2025-04-11","2025-04-22","1535.47","1614.44","105.14","253","Kept"
"PTP-000343","C0227","Cedar Ridge County Facilities","Low","Institutional","Elena Ruiz","2025-04-09","2025-04-23","8309.33","10001.41","120.36","252","Kept"
"PTP-000342","C0032","Cedar Ridge Components","Low","OEM Manufacturer","Marcus Bell","2025-04-10","2025-04-23","16938.87","17028.46","100.53","252","Kept"
"PTP-000344","C0026","Northfield Components","Low","OEM Manufacturer","Priya Natarajan","2025-04-15","2025-04-24","2008.39","27418.88","1365.22","251","Kept"
"PTP-000345","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-04-07","2025-04-24","3590.23","0.00","0.00","251","Broken"
"PTP-000346","C0292","Cedar Ridge Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-04-13","2025-04-24","495.21","507.44","102.47","251","Kept"
"PTP-000351","C0312","Pioneer University Facilities - Southeast","Low","Institutional","Marcus Bell","2025-04-12","2025-04-26","935.27","8279.70","885.27","249","Kept"
"PTP-000349","C0214","Bluewater Industries - Midwest 3","Low","OEM Manufacturer","Marcus Bell","2025-04-20","2025-04-26","2050.23","7964.08","388.45","249","Kept"
"PTP-000350","C0275","Cedar Ridge Machine Works - Southwest","High","OEM Manufacturer","Priya Natarajan","2025-04-09","2025-04-26","9478.71","21399.06","225.76","249","Kept"
"PTP-000347","C0171","Silverline Maintenance Supply - Southwest","Medium","MRO Reseller","Sam Horowitz","2025-04-23","2025-04-26","484.76","2593.86","535.08","249","Kept"
"PTP-000348","C0171","Silverline Maintenance Supply - Southwest","Medium","MRO Reseller","Sam Horowitz","2025-04-24","2025-04-26","1976.51","2593.86","131.23","249","Kept"
"PTP-000352","C0140","Apex Parts & Service","Medium","MRO Reseller","Grace Lindqvist","2025-04-15","2025-04-27","951.43","1493.41","156.96","248","Kept"
"PTP-000353","C0243","Cedar Ridge MRO Services - Southeast","Low","MRO Reseller","Grace Lindqvist","2025-04-23","2025-04-27","4528.85","6936.43","153.16","248","Kept"
"PTP-000354","C0392","Apex Industrial Supply - Southwest 3","High","MRO Reseller","Grace Lindqvist","2025-04-20","2025-04-27","1906.55","2030.13","106.48","248","Kept"
"PTP-000356","C0309","Frontier Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-04-15","2025-04-28","5623.16","5858.18","104.18","247","Kept"
"PTP-000355","C0006","Pioneer Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-04-17","2025-04-28","499.98","505.62","101.13","247","Kept"
"PTP-000357","C0012","Lakeshore Mechanical","Low","Contractor","Elena Ruiz","2025-04-23","2025-04-29","967.51","977.49","101.03","246","Kept"
"PTP-000358","C0168","Northfield Mechanical","Medium","Contractor","Elena Ruiz","2025-04-17","2025-04-29","1751.58","1921.63","109.71","246","Kept"
"PTP-000359","C0314","Cedar Ridge Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-04-21","2025-04-29","14721.23","22760.16","154.61","246","Kept"
"PTP-000360","C0324","Pioneer Construction","High","Contractor","Elena Ruiz","2025-04-21","2025-04-29","2998.19","0.00","0.00","246","Broken"
"PTP-000361","C0393","Silverline Components - West 3","Low","OEM Manufacturer","Priya Natarajan","2025-04-14","2025-04-29","3364.87","4125.52","122.61","246","Kept"
"PTP-000367","C0351","Ironbridge Components","High","OEM Manufacturer","Priya Natarajan","2025-04-18","2025-04-30","1601.41","1664.15","103.92","245","Kept"
"PTP-000366","C0205","Northfield Builders - Northeast","Medium","Contractor","Elena Ruiz","2025-04-22","2025-04-30","658.29","728.12","110.61","245","Kept"
"PTP-000365","C0163","Keystone Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-04-19","2025-04-30","14235.06","15464.34","108.64","245","Kept"
"PTP-000364","C0103","Northfield Electric","Medium","Contractor","Tomas Okafor","2025-04-18","2025-04-30","7755.06","16332.14","210.60","245","Kept"
"PTP-000362","C0015","Granite Contracting","Low","Contractor","Tomas Okafor","2025-04-27","2025-04-30","793.76","4064.11","512.01","245","Kept"
"PTP-000363","C0040","Apex MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-04-19","2025-04-30","1757.41","1822.16","103.68","245","Kept"
"PTP-000368","C0255","Riverbend Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-04-19","2025-05-01","5432.16","5901.85","108.65","244","Kept"
"PTP-000369","C0273","Oakmont Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-04-20","2025-05-01","1359.53","1492.85","109.81","244","Kept"
"PTP-000371","C0301","Titan Builders - Midwest 4","Medium","Contractor","Elena Ruiz","2025-04-26","2025-05-02","1141.09","1221.03","107.01","243","Kept"
"PTP-000370","C0067","Cedar Ridge Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-04-28","2025-05-02","3751.31","3860.28","102.90","243","Kept"
"PTP-000372","C0370","Cedar Ridge Construction - West 4","Low","Contractor","Tomas Okafor","2025-04-27","2025-05-02","2456.18","2478.14","100.89","243","Kept"
"PTP-000374","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-04-13","2025-05-03","1003.55","0.00","0.00","242","Broken"
"PTP-000373","C0026","Northfield Components","Low","OEM Manufacturer","Priya Natarajan","2025-04-22","2025-05-03","2787.96","4098.76","147.02","242","Kept"
"PTP-000375","C0032","Cedar Ridge Components","Low","OEM Manufacturer","Marcus Bell","2025-04-21","2025-05-04","12882.14","29045.65","225.47","241","Kept"
"PTP-000376","C0195","Redline Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-04-23","2025-05-04","1500.36","35421.72","2360.88","241","Kept"
"PTP-000382","C0195","Redline Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-04-24","2025-05-05","15600.46","35421.72","227.06","240","Kept"
"PTP-000381","C0186","Redline Parts & Service - Northeast","Low","MRO Reseller","Grace Lindqvist","2025-04-30","2025-05-05","3145.19","3229.46","102.68","240","Kept"
"PTP-000377","C0033","Lakeshore Construction","Medium","Contractor","Elena Ruiz","2025-04-22","2025-05-05","4333.42","5266.67","121.54","240","Kept"
"PTP-000378","C0077","Riverbend Industrial Supply","Low","MRO Reseller","Sam Horowitz","2025-05-02","2025-05-05","591.30","600.61","101.57","240","Kept"
"PTP-000379","C0128","Summit Builders","Low","Contractor","Elena Ruiz","2025-04-23","2025-05-05","7754.12","8238.89","106.25","240","Kept"
"PTP-000380","C0159","Apex Builders","Medium","Contractor","Marcus Bell","2025-04-29","2025-05-05","752.43","809.33","107.56","240","Kept"
"PTP-000385","C0165","Northfield School District","Low","Institutional","Marcus Bell","2025-04-30","2025-05-06","3403.50","3500.26","102.84","239","Kept"
"PTP-000383","C0015","Granite Contracting","Low","Contractor","Tomas Okafor","2025-04-30","2025-05-06","1014.17","1345.09","132.63","239","Kept"
"PTP-000384","C0019","Northfield Supply Co.","Medium","MRO Reseller","Sam Horowitz","2025-05-02","2025-05-06","3958.63","8843.62","223.40","239","Kept"
"PTP-000386","C0273","Oakmont Fabrication","Medium","OEM Manufacturer","Priya Natarajan","2025-04-23","2025-05-06","1516.08","1639.75","108.16","239","Kept"
"PTP-000387","C0354","Westbrook Supply Co. - Southeast","High","MRO Reseller","Grace Lindqvist","2025-04-22","2025-05-06","1787.61","2580.81","144.37","239","Kept"
"PTP-000391","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-04-23","2025-05-07","5919.83","0.00","0.00","238","Broken"
"PTP-000390","C0211","Ironbridge Builders","Low","Contractor","Tomas Okafor","2025-04-26","2025-05-07","4908.88","7327.90","149.28","238","Kept"
"PTP-000388","C0046","Keystone Builders","Low","Contractor","Elena Ruiz","2025-05-01","2025-05-07","1975.41","3763.65","190.53","238","Kept"
"PTP-000389","C0147","Apex Manufacturing - Northeast","Low","OEM Manufacturer","Marcus Bell","2025-04-28","2025-05-07","1985.97","2078.58","104.66","238","Kept"
"PTP-000392","C0139","Harbor Machine Works","Medium","OEM Manufacturer","Priya Natarajan","2025-04-28","2025-05-08","3062.72","5919.68","193.28","237","Kept"
"PTP-000393","C0303","Northfield Contracting","Medium","Contractor","Tomas Okafor","2025-04-27","2025-05-08","796.93","803.12","100.78","237","Kept"
"PTP-000394","C0305","Titan Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-04-29","2025-05-08","704.44","10598.77","1504.57","237","Kept"
"PTP-000395","C0314","Cedar Ridge Fabrication","Low","OEM Manufacturer","Marcus Bell","2025-04-30","2025-05-08","3817.31","4084.63","107.00","237","Kept"
"PTP-000396","C0320","Riverbend Fabrication - West","Medium","OEM Manufacturer","Marcus Bell","2025-04-30","2025-05-09","16460.30","20871.15","126.80","236","Kept"
"PTP-000397","C0334","Titan Fabrication - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-04-26","2025-05-09","11899.47","29362.13","246.75","236","Kept"
"PTP-000401","C0337","Keystone Manufacturing","Low","OEM Manufacturer","Priya Natarajan","2025-05-06","2025-05-10","990.82","14596.69","1473.19","235","Kept"
"PTP-000400","C0275","Cedar Ridge Machine Works - Southwest","High","OEM Manufacturer","Priya Natarajan","2025-05-04","2025-05-10","15277.94","19363.83","126.74","235","Kept"
"PTP-000399","C0271","Riverbend Electric - Midwest 3","High","Contractor","Elena Ruiz","2025-04-19","2025-05-10","2448.44","0.00","0.00","235","Broken"
"PTP-000398","C0003","Westbrook Electric","Low","Contractor","Elena Ruiz","2025-04-28","2025-05-10","4480.76","21373.86","477.01","235","Kept"
"PTP-000403","C0073","Lakeshore Manufacturing","High","OEM Manufacturer","Priya Natarajan","2025-04-28","2025-05-11","9559.43","0.00","0.00","234","Broken"
"PTP-000402","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-05-02","2025-05-11","3836.49","17636.14","459.69","234","Kept"
"PTP-000404","C0228","Granite School District","Low","Institutional","Tomas Okafor","2025-05-02","2025-05-11","3623.18","3868.73","106.78","234","Kept"
"PTP-000407","C0315","Lakeshore Parts & Service - Northeast","Medium","MRO Reseller","Grace Lindqvist","2025-05-07","2025-05-12","2596.37","4715.45","181.62","233","Kept"
"PTP-000406","C0139","Harbor Machine Works","Medium","OEM Manufacturer","Priya Natarajan","2025-04-19","2025-05-12","2476.24","0.00","0.00","233","Broken"
"PTP-000405","C0080","Frontier Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-05-04","2025-05-12","811.99","3705.35","456.33","233","Kept"
"PTP-000409","C0086","Crestview Contracting - Southeast","Medium","Contractor","Tomas Okafor","2025-05-06","2025-05-13","763.70","8222.17","1076.62","232","Kept"
"PTP-000408","C0061","Riverbend Industries","Low","OEM Manufacturer","Marcus Bell","2025-05-03","2025-05-13","1743.60","4795.36","275.03","232","Kept"
"PTP-000410","C0140","Apex Parts & Service","Medium","MRO Reseller","Grace Lindqvist","2025-05-06","2025-05-14","2164.68","3955.85","182.75","231","Kept"
"PTP-000411","C0275","Cedar Ridge Machine Works - Southwest","High","OEM Manufacturer","Priya Natarajan","2025-04-21","2025-05-14","3894.26","903.77","23.21","231","Broken"
"PTP-000412","C0381","Redline Electric","Medium","Contractor","Elena Ruiz","2025-05-10","2025-05-14","1276.86","1402.18","109.81","231","Kept"
"PTP-000414","C0296","Crestview Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-05-08","2025-05-15","4163.34","6134.38","147.34","230","Kept"
"PTP-000413","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-05-03","2025-05-15","723.05","0.00","0.00","230","Broken"
"PTP-000415","C0066","Summit Industries","Medium","OEM Manufacturer","Marcus Bell","2025-05-03","2025-05-16","3407.38","3601.79","105.71","229","Kept"
"PTP-000416","C0297","Apex Mechanical - Southeast 3","High","Contractor","Tomas Okafor","2025-04-23","2025-05-16","3930.66","0.00","0.00","229","Broken"
"PTP-000417","C0006","Pioneer Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-05-09","2025-05-17","4735.50","4863.55","102.70","228","Kept"
"PTP-000418","C0040","Apex MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-05-12","2025-05-18","1374.30","1456.55","105.98","227","Kept"
"PTP-000419","C0055","Silverline Components","Low","OEM Manufacturer","Priya Natarajan","2025-05-08","2025-05-18","4780.39","10645.36","222.69","227","Kept"
"PTP-000420","C0087","Riverbend Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-05-10","2025-05-18","4006.55","5671.53","141.56","227","Kept"
"PTP-000422","C0376","Summit Components - Midwest","High","OEM Manufacturer","Priya Natarajan","2025-05-08","2025-05-18","3048.69","8761.25","287.38","227","Kept"
"PTP-000421","C0369","Lakeshore Components","High","OEM Manufacturer","Marcus Bell","2025-05-15","2025-05-18","10275.22","10797.12","105.08","227","Kept"
"PTP-000430","C0392","Apex Industrial Supply - Southwest 3","High","MRO Reseller","Grace Lindqvist","2025-05-10","2025-05-19","483.71","9968.68","2060.88","226","Kept"
"PTP-000425","C0101","Redline University Facilities - Northeast","Low","Institutional","Marcus Bell","2025-05-10","2025-05-19","1281.69","1360.19","106.12","226","Kept"
"PTP-000426","C0134","Frontier MRO Services","Medium","MRO Reseller","Grace Lindqvist","2025-05-13","2025-05-19","492.19","945.94","192.19","226","Kept"
"PTP-000423","C0009","Ironbridge Fabrication","Medium","OEM Manufacturer","Marcus Bell","2025-05-08","2025-05-19","826.74","16451.13","1989.88","226","Kept"
"PTP-000424","C0017","Silverline Fabrication","Low","OEM Manufacturer","Priya Natarajan","2025-05-09","2025-05-19","2417.97","33409.22","1381.71","226","Kept"
"PTP-000429","C0277","Lakeshore Construction - West","High","Contractor","Tomas Okafor","2025-05-01","2025-05-19","1086.60","0.00","0.00","226","Broken"
"PTP-000428","C0271","Riverbend Electric - Midwest 3","High","Contractor","Elena Ruiz","2025-05-02","2025-05-19","3493.18","0.00","0.00","226","Broken"
"PTP-000427","C0257","Granite Supply Co.","Medium","MRO Reseller","Sam Horowitz","2025-05-11","2025-05-19","2619.36","2764.41","105.54","226","Kept"
"PTP-000434","C0271","Riverbend Electric - Midwest 3","High","Contractor","Elena Ruiz","2025-04-28","2025-05-20","2116.63","0.00","0.00","225","Broken"
"PTP-000433","C0226","Lakeshore Industries","Medium","OEM Manufacturer","Priya Natarajan","2025-04-26","2025-05-20","3762.23","2006.61","53.34","225","PartiallyKept"
"PTP-000432","C0206","Oakmont Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-05-16","2025-05-20","3050.45","3135.52","102.79","225","Kept"
"PTP-000435","C0340","Bluewater Contracting","Low","Contractor","Tomas Okafor","2025-05-08","2025-05-20","8322.76","8326.20","100.04","225","Kept"
"PTP-000431","C0026","Northfield Components","Low","OEM Manufacturer","Priya Natarajan","2025-05-12","2025-05-20","5093.24","7936.72","155.83","225","Kept"
"PTP-000436","C0009","Ironbridge Fabrication","Medium","OEM Manufacturer","Marcus Bell","2025-05-08","2025-05-21","4139.48","10274.95","248.22","224","Kept"
"PTP-000437","C0162","Stonegate Builders","Medium","Contractor","Elena Ruiz","2025-05-18","2025-05-21","5401.17","5571.04","103.15","224","Kept"
"PTP-000438","C0191","Bluewater Builders - Midwest","High","Contractor","Tomas Okafor","2025-05-18","2025-05-21","778.02","814.15","104.64","224","Kept"
"PTP-000439","C0193","Silverline Industrial Supply - Northeast","Medium","MRO Reseller","Grace Lindqvist","2025-05-08","2025-05-21","2878.41","2985.47","103.72","224","Kept"
"PTP-000440","C0201","Titan Machine Works","Low","OEM Manufacturer","Marcus Bell","2025-05-14","2025-05-21","1905.65","14316.44","751.26","224","Kept"
"PTP-000441","C0271","Riverbend Electric - Midwest 3","High","Contractor","Elena Ruiz","2025-04-27","2025-05-21","757.97","0.00","0.00","224","Broken"
"PTP-000442","C0371","Pioneer Water Authority","Low","Institutional","Marcus Bell","2025-05-17","2025-05-21","1790.79","1793.12","100.13","224","Kept"
"PTP-000443","C0126","Oakmont Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-05-11","2025-05-22","639.40","679.74","106.31","223","Kept"
"PTP-000445","C0140","Apex Parts & Service","Medium","MRO Reseller","Grace Lindqvist","2025-05-15","2025-05-23","2871.86","8457.27","294.49","222","Kept"
"PTP-000444","C0067","Cedar Ridge Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-05-13","2025-05-23","2827.57","2931.09","103.66","222","Kept"
"PTP-000446","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-04-28","2025-05-23","711.74","0.00","0.00","222","Broken"
"PTP-000447","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-05-03","2025-05-23","6312.41","0.00","0.00","222","Broken"
"PTP-000453","C0386","Bluewater Electric","High","Contractor","Elena Ruiz","2025-05-14","2025-05-24","1817.05","0.00","0.00","221","Broken"
"PTP-000450","C0247","Westbrook Contracting","Medium","Contractor","Tomas Okafor","2025-05-15","2025-05-24","816.59","833.31","102.05","221","Kept"
"PTP-000451","C0291","Redline Contracting","Low","Contractor","Tomas Okafor","2025-05-20","2025-05-24","1518.86","1659.56","109.26","221","Kept"
"PTP-000452","C0292","Cedar Ridge Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-05-11","2025-05-24","2221.84","2305.43","103.76","221","Kept"
"PTP-000449","C0065","Bluewater Maintenance Supply","Low","MRO Reseller","Grace Lindqvist","2025-05-18","2025-05-24","1909.74","2115.31","110.76","221","Kept"
"PTP-000448","C0048","Stonegate Industries","Medium","OEM Manufacturer","Priya Natarajan","2025-05-18","2025-05-24","10580.77","11024.45","104.19","221","Kept"
"PTP-000454","C0006","Pioneer Maintenance Supply","Medium","MRO Reseller","Grace Lindqvist","2025-05-12","2025-05-25","1213.04","1276.62","105.24","220","Kept"
"PTP-000455","C0015","Granite Contracting","Low","Contractor","Tomas Okafor","2025-05-15","2025-05-25","6066.43","6456.07","106.42","220","Kept"
"PTP-000456","C0094","Bluewater Industries - Southeast","Low","OEM Manufacturer","Marcus Bell","2025-05-23","2025-05-25","17174.96","17336.23","100.94","220","Kept"
"PTP-000457","C0395","Northfield MRO Services","Low","MRO Reseller","Sam Horowitz","2025-05-18","2025-05-25","2372.63","6996.17","294.87","220","Kept"
"PTP-000460","C0171","Silverline Maintenance Supply - Southwest","Medium","MRO Reseller","Sam Horowitz","2025-05-17","2025-05-26","1571.22","8188.87","521.18","219","Kept"
"PTP-000458","C0043","Bluewater Construction","Low","Contractor","Elena Ruiz","2025-05-24","2025-05-26","3757.22","4146.60","110.36","219","Kept"
"PTP-000459","C0052","Westbrook Parts & Service","Medium","MRO Reseller","Grace Lindqvist","2025-05-22","2025-05-26","921.97","937.96","101.73","219","Kept"
"PTP-000462","C0282","Ironbridge Electric - Southeast","Low","Contractor","Elena Ruiz","2025-05-20","2025-05-26","1596.44","5597.26","350.61","219","Kept"
"PTP-000461","C0234","Redline University Facilities - Midwest 3","Low","Institutional","Tomas Okafor","2025-05-19","2025-05-26","2953.10","3261.01","110.43","219","Kept"
"PTP-000465","C0346","Frontier Supply Co.","Low","MRO Reseller","Grace Lindqvist","2025-05-24","2025-05-27","3716.34","3938.40","105.98","218","Kept"
"PTP-000463","C0038","Summit Fabrication","High","OEM Manufacturer","Priya Natarajan","2025-05-13","2025-05-27","4086.89","1763.48","43.15","218","PartiallyKept"
"PTP-000464","C0175","Redline Mechanical - Southwest","Low","Contractor","Elena Ruiz","2025-05-16","2025-05-27","645.92","1901.53","294.39","218","Kept"
"PTP-000466","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-05-20","2025-05-28","5611.11","0.00","0.00","217","Broken"
"PTP-000467","C0066","Summit Industries","Medium","OEM Manufacturer","Marcus Bell","2025-05-23","2025-05-28","4155.39","4215.84","101.45","217","Kept"
"PTP-000468","C0068","Harbor Industries","High","OEM Manufacturer","Priya Natarajan","2025-05-23","2025-05-28","5626.69","20842.62","370.42","217","Kept"
"PTP-000471","C0351","Ironbridge Components","High","OEM Manufacturer","Priya Natarajan","2025-05-16","2025-05-28","2525.87","2748.59","108.82","217","Kept"
"PTP-000470","C0306","Apex Builders - Southwest 3","Low","Contractor","Tomas Okafor","2025-05-24","2025-05-28","4379.09","4671.24","106.67","217","Kept"
"PTP-000469","C0198","Titan Maintenance Supply - Northeast","Low","MRO Reseller","Grace Lindqvist","2025-05-19","2025-05-28","4309.16","6460.82","149.93","217","Kept"
"PTP-000474","C0202","Harbor MRO Services","Low","MRO Reseller","Sam Horowitz","2025-05-22","2025-05-29","562.20","585.53","104.15","216","Kept"
"PTP-000475","C0275","Cedar Ridge Machine Works - Southwest","High","OEM Manufacturer","Priya Natarajan","2025-05-19","2025-05-29","8016.15","8783.87","109.58","216","Kept"
"PTP-000472","C0054","Titan Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-05-22","2025-05-29","2041.02","4534.77","222.18","216","Kept"
"PTP-000473","C0129","Northfield Builders","Medium","Contractor","Elena Ruiz","2025-05-23","2025-05-29","7348.90","8164.71","111.10","216","Kept"
"PTP-000479","C0111","Harbor Manufacturing","Medium","OEM Manufacturer","Marcus Bell","2025-05-19","2025-05-30","1855.67","3139.02","169.16","215","Kept"
"PTP-000477","C0049","Westbrook Mechanical","Medium","Contractor","Elena Ruiz","2025-05-18","2025-05-30","6929.04","13595.96","196.22","215","Kept"
"PTP-000478","C0073","Lakeshore Manufacturing","High","OEM Manufacturer","Priya Natarajan","2025-05-19","2025-05-30","7425.28","7797.43","105.01","215","Kept"
"PTP-000476","C0012","Lakeshore Mechanical","Low","Contractor","Elena Ruiz","2025-05-26","2025-05-30","4977.41","13604.06","273.32","215","Kept"
"PTP-000480","C0302","Crestview Contracting - Northeast 3","High","Contractor","Tomas Okafor","2025-05-19","2025-05-30","542.91","0.00","0.00","215","Broken"
"PTP-000481","C0349","Granite Manufacturing","High","OEM Manufacturer","Marcus Bell","2025-05-13","2025-05-30","7045.21","0.00","0.00","215","Broken"
"PTP-000482","C0358","Ironbridge Builders - West","Low","Contractor","Elena Ruiz","2025-05-24","2025-05-30","3232.81","5929.62","183.42","215","Kept"
"PTP-000490","C0360","Bluewater Medical Center - Northeast","Medium","Institutional","Marcus Bell","2025-05-21","2025-05-31","8858.01","9128.51","103.05","214","Kept"
"PTP-000491","C0368","Stonegate Machine Works - West","Low","OEM Manufacturer","Priya Natarajan","2025-05-24","2025-05-31","13742.49","14207.35","103.38","214","Kept"
"PTP-000489","C0288","Summit University Facilities","Low","Institutional","Priya Natarajan","2025-05-24","2025-05-31","858.50","890.93","103.78","214","Kept"
"PTP-000483","C0011","Redline Supply Co.","Medium","MRO Reseller","Sam Horowitz","2025-05-21","2025-05-31","2272.48","2310.55","101.68","214","Kept"
"PTP-000485","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-05-08","2025-05-31","2385.48","0.00","0.00","214","Broken"
"PTP-000484","C0058","Lakeshore Builders","Low","Contractor","Elena Ruiz","2025-05-21","2025-05-31","1343.39","1434.07","106.75","214","Kept"
"PTP-000486","C0091","Redline School District","Low","Institutional","Elena Ruiz","2025-05-24","2025-05-31","10116.71","11186.44","110.57","214","Kept"
"PTP-000488","C0158","Frontier Mechanical","High","Contractor","Elena Ruiz","2025-05-20","2025-05-31","6794.48","6999.46","103.02","214","Kept"
"PTP-000487","C0154","Frontier University Facilities - Southeast","Medium","Institutional","Priya Natarajan","2025-05-20","2025-05-31","4480.03","6990.59","156.04","214","Kept"
"PTP-000493","C0139","Harbor Machine Works","Medium","OEM Manufacturer","Priya Natarajan","2025-05-26","2025-06-01","10535.41","19878.27","188.68","213","Kept"
"PTP-000492","C0046","Keystone Builders","Low","Contractor","Elena Ruiz","2025-05-28","2025-06-01","5320.30","5344.27","100.45","213","Kept"
"PTP-000494","C0241","Lakeshore Industries - Southeast","Low","OEM Manufacturer","Priya Natarajan","2025-05-21","2025-06-01","14011.92","14861.00","106.06","213","Kept"
"PTP-000495","C0378","Silverline Fabrication - Southwest","Medium","OEM Manufacturer","Priya Natarajan","2025-05-26","2025-06-01","5267.74","21631.17","410.63","213","Kept"
"PTP-000498","C0323","Titan Parts & Service - Southwest 3","Low","MRO Reseller","Grace Lindqvist","2025-05-20","2025-06-02","567.76","624.47","109.99","212","Kept"
"PTP-000496","C0059","Apex Mechanical","High","Contractor","Marcus Bell","2025-05-11","2025-06-02","4564.36","0.00","0.00","212","Broken"
"PTP-000497","C0081","Crestview Builders","Low","Contractor","Tomas Okafor","2025-05-24","2025-06-02","996.83","1025.58","102.88","212","Kept"
"PTP-000499","C0099","Northfield Water Authority","Low","Institutional","Priya Natarajan","2025-05-28","2025-06-03","1123.28","1166.38","103.84","211","Kept"
"PTP-000500","C0143","Northfield Parts & Service","Medium","MRO Reseller","Sam Horowitz","2025-05-22","2025-06-03","752.76","811.69","107.83","211","Kept"
"PTP-000501","C0183","Oakmont Maintenance Supply","High","MRO Reseller","Grace Lindqvist","2025-05-28","2025-06-03","503.74","519.66","103.16","211","Kept"
"PTP-000502","C0199","Granite Builders","Low","Contractor","Tomas Okafor","2025-05-26","2025-06-03","6678.83","16179.63","242.25","211","Kept"
"PTP-000503","C0393","Silverline Components - West 3","Low","OEM Manufacturer","Priya Natarajan","2025-05-30","2025-06-03","13509.63","17587.33","130.18","211","Kept"
"PTP-000506","C0396","Ironbridge Manufacturing","Medium","OEM Manufacturer","Priya Natarajan","2025-05-24","2025-06-04","13062.10","14864.46","113.80","210","Kept"
"PTP-000504","C0251","Silverline Mechanical - Southwest","Low","Contractor","Tomas Okafor","2025-05-25","2025-06-04","1276.69","1347.80","105.57","210","Kept"
"PTP-000505","C0262","Titan Industrial Supply","Medium","MRO Reseller","Grace Lindqvist","2025-05-29","2025-06-04","498.30","984.12","197.50","210","Kept"
"PTP-000507","C0232","Titan Builders - Southwest","High","Contractor","Tomas Okafor","2025-05-21","2025-06-05","1618.08","0.00","0.00","209","Broken"
"PTP-000508","C0353","Summit Mechanical - Southwest 3","High","Contractor","Priya Natarajan","2025-05-29","2025-06-05","733.76","1836.50","250.29","209","Kept"
"PTP-000509","C0248","Lakeshore Contracting - Midwest","Medium","Contractor","Tomas Okafor","2025-05-29","2025-06-06","3697.50","9178.89","248.25","208","Kept"
