"PriorityRank","CollectorRank","CustomerID","CustomerName","Segment","Region","RiskTier","CollectorID","CollectorName","Team","TermsCode","OpenBalance","PastDueBalance","Balance90Plus","DisputedBalance","WeightedExposure","DisputedWeightedExposure","CollectableExposure","NetCollectablePosition","IsFullyOffsetByCash","OldestDaysPastDue","CreditUtilizationPct","AvgDaysLateHistoric","UnappliedCash","NetExposure","BrokenPromises90d","ActionCode","CreditHoldFlag","IsTodaysWorklist","RecommendedAction"
"83","23","C0309","Frontier Machine Works","OEM Manufacturer","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","40789.15","5932.54","0.00","0.00","1483.14","0.00","1483.14","1483.14","0","13","16.32","5.9","0.00","40789.15","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"84","15","C0037","Westbrook Builders","Contractor","Southeast","High","COL-04","Tomas Okafor","Commercial","2/10NET30","20617.57","5927.02","0.00","0.00","1481.76","0.00","1481.76","1481.76","0","4","51.54","13.2","0.00","20617.57","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"85","13","C0062","Keystone Electric","Contractor","Northeast","Medium","COL-03","Elena Ruiz","Commercial","NET30","9652.69","5867.56","0.00","0.00","1466.89","0.00","1466.89","1466.89","0","7","10.16","12.4","0.00","9652.69","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"86","16","C0172","Crestview Electric","Contractor","West","Medium","COL-04","Tomas Okafor","Commercial","2/10NET30","9910.01","8585.40","2862.33","0.00","4293.10","0.00","1430.77","1430.77","0","627","8.26","-6.5","2862.33","7047.68","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"87","14","C0276","Oakmont Builders - West 3","Contractor","West","Medium","COL-03","Elena Ruiz","Commercial","NET60","16612.14","5691.82","0.00","3913.17","1422.96","0.00","1422.96","1422.96","0","5","27.69","11.8","0.00","16612.14","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"88","3","C0014","Riverbend MRO Services","MRO Reseller","Southwest","Medium","COL-06","Sam Horowitz","Small Business","NET30","14903.55","5589.69","0.00","0.00","1397.42","0.00","1397.42","1397.42","0","18","14.19","13.2","0.00","14903.55","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"89","27","C0334","Titan Fabrication - Southeast","OEM Manufacturer","Southeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","55318.73","5548.02","0.00","12273.66","1387.01","0.00","1387.01","1387.01","0","2","16.76","7.8","0.00","55318.73","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"90","17","C0319","Ironbridge Medical Center - Southwest 3","Institutional","Southwest","Low","COL-04","Tomas Okafor","Commercial","NET60","5490.19","5490.19","0.00","0.00","1372.55","0.00","1372.55","1372.55","0","16","7.84","24.7","0.00","5490.19","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"91","15","C0256","Oakmont School District","Institutional","Northeast","Medium","COL-03","Elena Ruiz","Commercial","NET60","12440.01","5215.52","0.00","0.00","1303.88","0.00","1303.88","1303.88","0","26","12.44","23.5","0.00","12440.01","1","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"92","28","C0057","Frontier School District","Institutional","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","16845.40","2570.62","0.00","0.00","1285.31","0.00","1285.31","1285.31","0","34","8.22","23.0","0.00","16845.40","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"93","29","C0241","Lakeshore Industries - Southeast","OEM Manufacturer","Southeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET60","66877.84","5103.41","0.00","7171.35","1275.85","0.00","1275.85","1275.85","0","3","36.15","8.5","0.00","66877.84","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"94","18","C0145","Crestview Medical Center","Institutional","West","Low","COL-04","Tomas Okafor","Commercial","NET90","19286.05","5004.72","0.00","0.00","1251.18","0.00","1251.18","1251.18","0","16","16.07","18.9","0.00","19286.05","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"95","16","C0229","Pioneer Medical Center","Institutional","Northeast","Low","COL-03","Elena Ruiz","Commercial","NET60","19682.45","4939.84","0.00","0.00","1234.96","0.00","1234.96","1234.96","0","26","23.16","21.4","0.00","19682.45","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"96","17","C0345","Bluewater Medical Center","Institutional","Southeast","Low","COL-03","Elena Ruiz","Commercial","NET60","4925.74","4925.74","0.00","0.00","1231.44","0.00","1231.44","1231.44","0","12","6.16","21.9","0.00","4925.74","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"97","24","C0169","Apex Components","OEM Manufacturer","Midwest","Medium","COL-02","Marcus Bell","Strategic Accounts","NET60","63274.22","4898.97","0.00","0.00","1224.74","0.00","1224.74","1224.74","0","10","21.82","11.7","0.00","63274.22","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"98","7","C0363","Granite Parts & Service - Midwest","MRO Reseller","Midwest","High","COL-05","Grace Lindqvist","Small Business","NET30","14382.72","4853.01","0.00","0.00","1213.25","0.00","1213.25","1213.25","0","11","20.55","21.5","0.00","14382.72","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"99","8","C0260","Harbor Industrial Supply","MRO Reseller","Northeast","High","COL-05","Grace Lindqvist","Small Business","2/10NET30","6516.10","4623.31","0.00","0.00","1155.83","0.00","1155.83","1155.83","0","12","11.85","6.5","0.00","6516.10","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"100","18","C0064","Frontier University Facilities","Institutional","West","Low","COL-03","Elena Ruiz","Commercial","NET90","32963.29","4622.82","0.00","0.00","1155.71","0.00","1155.71","1155.71","0","16","29.97","20.7","0.00","32963.29","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"101","4","C0316","Bluewater Parts & Service - Midwest 3","MRO Reseller","Midwest","Medium","COL-06","Sam Horowitz","Small Business","NET30","9176.22","4596.99","0.00","0.00","1149.25","0.00","1149.25","1149.25","0","14","12.23","9.8","0.00","9176.22","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"102","19","C0301","Titan Builders - Midwest 4","Contractor","Midwest","Medium","COL-03","Elena Ruiz","Commercial","NET30","10973.06","6878.46","2303.59","0.00","3447.31","0.00","1143.72","1143.72","0","404","10.45","13.2","2303.59","8669.47","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"103","19","C0250","Northfield Builders - Northeast 3","Contractor","Northeast","Low","COL-04","Tomas Okafor","Commercial","NET30","4570.38","4570.38","0.00","0.00","1142.60","0.00","1142.60","1142.60","0","5","11.43","8.2","0.00","4570.38","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"104","20","C0156","Frontier County Facilities","Institutional","West","Low","COL-03","Elena Ruiz","Commercial","NET90","42376.15","4540.45","0.00","0.00","1135.11","0.00","1135.11","1135.11","0","16","31.39","24.1","0.00","42376.15","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"105","5","C0225","Titan Parts & Service","MRO Reseller","Midwest","High","COL-06","Sam Horowitz","Small Business","2/10NET30","7630.38","4316.59","0.00","0.00","1079.15","0.00","1079.15","1079.15","0","24","15.26","13.4","0.00","7630.38","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"106","30","C0310","Harbor Water Authority","Institutional","Midwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET90","33249.44","4175.70","0.00","0.00","1043.93","0.00","1043.93","1043.93","0","30","19.56","18.2","0.00","33249.44","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"107","31","C0337","Keystone Manufacturing","OEM Manufacturer","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","48359.90","4150.70","0.00","0.00","1037.68","0.00","1037.68","1037.68","0","19","8.96","6.1","0.00","48359.90","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"108","9","C0192","Keystone MRO Services","MRO Reseller","Midwest","Medium","COL-05","Grace Lindqvist","Small Business","NET30","7790.88","4137.63","0.00","0.00","1034.41","0.00","1034.41","1034.41","0","6","11.99","12.6","0.00","7790.88","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"109","32","C0150","Northfield Industries","OEM Manufacturer","Midwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","58487.70","4108.45","0.00","2050.15","1027.11","0.00","1027.11","1027.11","0","12","13.76","6.7","0.00","58487.70","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"110","6","C0242","Silverline Parts & Service","MRO Reseller","Southeast","Low","COL-06","Sam Horowitz","Small Business","NET30","10022.66","4084.12","0.00","0.00","1021.03","0.00","1021.03","1021.03","0","6","8.35","5.6","0.00","10022.66","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"111","7","C0344","Granite Supply Co. - West","MRO Reseller","West","Low","COL-06","Sam Horowitz","Small Business","NET30","19463.69","2037.24","0.00","0.00","1018.62","0.00","1018.62","1018.62","0","33","16.92","4.4","0.00","19463.69","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"112","21","C0149","Pioneer University Facilities","Institutional","Southeast","Low","COL-03","Elena Ruiz","Commercial","NET60","5967.92","4020.01","0.00","0.00","1005.00","0.00","1005.00","1005.00","0","12","7.46","18.1","0.00","5967.92","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"113","22","C0036","Harbor Builders - West","Contractor","West","Low","COL-03","Elena Ruiz","Commercial","NET60","22168.21","5780.36","1786.89","810.84","2785.26","0.00","998.37","998.37","0","195","15.29","4.9","1786.89","20381.32","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"114","23","C0356","Stonegate University Facilities - Midwest 3","Institutional","Midwest","Low","COL-03","Elena Ruiz","Commercial","NET90","23116.26","3961.04","0.00","0.00","990.26","0.00","990.26","990.26","0","2","15.94","21.2","0.00","23116.26","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"115","24","C0075","Ironbridge Mechanical - Southeast 3","Contractor","Southeast","Medium","COL-03","Elena Ruiz","Commercial","NET30","22123.42","3791.71","0.00","0.00","947.93","0.00","947.93","947.93","0","18","26.03","11.0","0.00","22123.42","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"116","25","C0066","Summit Industries","OEM Manufacturer","Midwest","Medium","COL-02","Marcus Bell","Strategic Accounts","NET60","91519.74","14750.26","0.00","0.00","4605.64","0.00","933.35","933.35","0","43","23.77","12.7","3672.29","87847.45","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"117","25","C0049","Westbrook Mechanical","Contractor","Southwest","Medium","COL-03","Elena Ruiz","Commercial","2/10NET30","7011.58","7011.58","3683.79","0.00","4515.74","0.00","905.63","905.63","0","326","4.84","-2.3","3610.11","3401.47","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"118","26","C0389","Ironbridge Components - Southeast","OEM Manufacturer","Southeast","Medium","COL-02","Marcus Bell","Strategic Accounts","NET60","118321.01","13114.17","9541.80","17063.15","10434.89","0.00","893.09","893.09","0","149","20.05","14.9","9541.80","108779.21","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"119","20","C0098","Summit Mechanical - Southeast","Contractor","Southeast","Medium","COL-04","Tomas Okafor","Commercial","NET30","5470.74","3504.13","0.00","0.00","876.03","0.00","876.03","876.03","0","5","10.94","15.2","0.00","5470.74","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"120","26","C0280","Apex Mechanical - West","Contractor","West","Medium","COL-03","Elena Ruiz","Commercial","NET60","34442.27","3413.26","0.00","0.00","853.32","0.00","853.32","853.32","0","3","28.70","12.9","0.00","34442.27","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"121","8","C0188","Westbrook Industrial Supply - Southwest","MRO Reseller","Southwest","High","COL-06","Sam Horowitz","Small Business","NET30","7717.38","1655.43","0.00","0.00","827.72","0.00","827.72","827.72","0","53","22.05","24.1","0.00","7717.38","0","COLLECTION_CALL","0","1","Collection call: oldest item is more than 30 days past due."
"122","9","C0171","Silverline Maintenance Supply - Southwest","MRO Reseller","Southwest","Medium","COL-06","Sam Horowitz","Small Business","NET30","11528.08","3287.91","0.00","0.00","821.98","0.00","821.98","821.98","0","11","10.48","10.8","0.00","11528.08","0","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"123","10","C0354","Westbrook Supply Co. - Southeast","MRO Reseller","Southeast","High","COL-05","Grace Lindqvist","Small Business","2/10NET30","5642.92","3280.77","0.00","0.00","820.19","0.00","820.19","820.19","0","5","22.57","21.1","0.00","5642.92","1","STANDARD_DUNNING","0","1","Standard dunning letter and follow-up call."
"124","11","C0052","Westbrook Parts & Service","MRO Reseller","Southeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","13799.56","3235.67","0.00","0.00","808.92","0.00","808.92","808.92","0","7","15.33","13.9","0.00","13799.56","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"125","27","C0209","Northfield Construction","Contractor","Midwest","Low","COL-03","Elena Ruiz","Commercial","NET30","11453.63","3227.38","0.00","0.00","806.85","0.00","806.85","806.85","0","28","12.06","4.7","0.00","11453.63","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"126","28","C0022","Apex Contracting","Contractor","Southeast","Medium","COL-03","Elena Ruiz","Commercial","2/10NET30","14034.51","2928.72","0.00","4092.17","732.18","0.00","732.18","732.18","0","12","21.59","-1.7","0.00","14034.51","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"127","33","C0026","Northfield Components","OEM Manufacturer","Northeast","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","35585.31","2897.97","0.00","0.00","724.49","0.00","724.49","724.49","0","3","6.47","6.1","0.00","35585.31","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"128","29","C0114","Titan Construction","Contractor","Northeast","Medium","COL-03","Elena Ruiz","Commercial","2/10NET30","8223.93","2890.00","0.00","0.00","722.50","0.00","722.50","722.50","0","10","12.65","-3.5","0.00","8223.93","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"129","10","C0257","Granite Supply Co.","MRO Reseller","West","Medium","COL-06","Sam Horowitz","Small Business","NET30","6226.76","2017.06","635.50","0.00","1326.28","0.00","690.78","690.78","0","256","15.57","12.2","635.50","5591.26","0","FINAL_NOTICE","0","1","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"130","12","C0136","Crestview Industrial Supply - West","MRO Reseller","West","High","COL-05","Grace Lindqvist","Small Business","NET30","13146.64","2737.54","0.00","0.00","684.39","0.00","684.39","684.39","0","5","20.23","25.5","0.00","13146.64","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"131","34","C0328","Westbrook Industries","OEM Manufacturer","Midwest","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","73047.34","5883.67","3169.41","12655.27","3847.98","0.00","678.57","678.57","0","409","12.38","4.8","3169.41","69877.93","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"132","13","C0323","Titan Parts & Service - Southwest 3","MRO Reseller","Southwest","Low","COL-05","Grace Lindqvist","Small Business","NET30","8214.18","5146.81","277.55","2906.45","1494.87","726.61","672.36","672.36","0","136","27.38","6.2","277.55","7936.63","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"133","27","C0135","Oakmont Medical Center - Midwest","Institutional","Midwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET90","25399.12","2676.50","0.00","0.00","669.13","0.00","669.13","669.13","0","6","16.39","21.4","0.00","25399.12","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"134","28","C0215","Silverline Medical Center","Institutional","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","8153.48","6605.52","4011.74","0.00","4660.19","0.00","648.45","648.45","0","523","5.26","22.0","4011.74","4141.74","0","APPLY_CASH","0","0","Do not call. Cash is already banked against this account and unmatched -- route to cash application to apply it before any collections contact."
"135","21","C0144","Frontier Electric","Contractor","Northeast","Medium","COL-04","Tomas Okafor","Commercial","NET30","11743.37","2553.89","0.00","0.00","638.47","0.00","638.47","638.47","0","26","10.68","14.9","0.00","11743.37","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"136","22","C0370","Cedar Ridge Construction - West 4","Contractor","West","Low","COL-04","Tomas Okafor","Commercial","NET60","8174.00","2468.45","0.00","0.00","617.11","0.00","617.11","617.11","0","25","9.62","4.4","0.00","8174.00","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"137","30","C0336","Summit Contracting - Southwest 3","Contractor","Southwest","Low","COL-03","Elena Ruiz","Commercial","NET60","33618.47","2375.52","0.00","0.00","593.88","0.00","593.88","593.88","0","10","35.39","4.1","0.00","33618.47","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"138","23","C0131","Bluewater Mechanical","Contractor","Northeast","High","COL-04","Tomas Okafor","Commercial","2/10NET30","6887.26","2366.88","0.00","0.00","591.72","0.00","591.72","591.72","0","26","15.31","11.9","0.00","6887.26","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"139","14","C0006","Pioneer Maintenance Supply","MRO Reseller","Northeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","2282.60","2282.60","0.00","0.00","570.65","0.00","570.65","570.65","0","5","7.61","10.7","0.00","2282.60","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"140","11","C0078","Westbrook Maintenance Supply","MRO Reseller","Midwest","Medium","COL-06","Sam Horowitz","Small Business","2/10NET30","6885.14","2248.82","0.00","0.00","562.21","0.00","562.21","562.21","0","13","5.74","-4.7","0.00","6885.14","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"141","31","C0060","Crestview School District","Institutional","Southeast","Low","COL-03","Elena Ruiz","Commercial","NET60","13743.16","2231.35","0.00","0.00","557.84","0.00","557.84","557.84","0","4","19.63","22.7","0.00","13743.16","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"142","15","C0313","Oakmont Industrial Supply","MRO Reseller","Southeast","Low","COL-05","Grace Lindqvist","Small Business","NET30","6906.01","2212.45","0.00","4693.56","553.11","0.00","553.11","553.11","0","3","10.62","12.5","0.00","6906.01","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"143","24","C0240","Summit Contracting","Contractor","West","Medium","COL-04","Tomas Okafor","Commercial","NET60","37215.64","2200.41","0.00","0.00","550.10","0.00","550.10","550.10","0","5","74.43","11.4","0.00","37215.64","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"144","25","C0340","Bluewater Contracting","Contractor","West","Low","COL-04","Tomas Okafor","Commercial","NET60","16127.39","2164.11","0.00","0.00","541.03","0.00","541.03","541.03","0","1","12.90","4.9","0.00","16127.39","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"145","32","C0373","Riverbend Electric - West 4","Contractor","West","High","COL-03","Elena Ruiz","Commercial","NET60","6338.96","2068.44","0.00","0.00","517.11","0.00","517.11","517.11","0","9","18.11","23.6","0.00","6338.96","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"146","29","C0305","Titan Fabrication","OEM Manufacturer","Northeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","45549.26","2047.38","0.00","0.00","511.85","0.00","511.85","511.85","0","5","13.40","5.1","0.00","45549.26","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"147","30","C0032","Cedar Ridge Components","OEM Manufacturer","West","Low","COL-02","Marcus Bell","Strategic Accounts","NET45","49939.59","1973.75","0.00","0.00","493.44","0.00","493.44","493.44","0","26","14.69","7.1","0.00","49939.59","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"148","33","C0227","Cedar Ridge County Facilities","Institutional","West","Low","COL-03","Elena Ruiz","Commercial","NET60","10349.58","1954.90","0.00","0.00","488.73","0.00","488.73","488.73","0","19","12.94","21.4","0.00","10349.58","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"149","12","C0007","Cedar Ridge Industrial Supply","MRO Reseller","West","High","COL-06","Sam Horowitz","Small Business","NET30","15312.24","1876.71","0.00","3580.79","469.18","0.00","469.18","469.18","0","14","14.58","23.2","0.00","15312.24","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"150","31","C0287","Redline University Facilities - Southwest 4","Institutional","Southwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET90","24095.97","1872.16","0.00","0.00","468.04","0.00","468.04","468.04","0","2","15.55","18.0","0.00","24095.97","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"151","34","C0012","Lakeshore Mechanical","Contractor","Southeast","Low","COL-03","Elena Ruiz","Commercial","NET30","26634.07","5422.48","0.00","4793.03","1355.62","1198.26","456.93","456.93","0","19","21.31","4.4","0.00","26634.07","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"152","35","C0381","Redline Electric","Contractor","Northeast","Medium","COL-03","Elena Ruiz","Commercial","NET30","1789.46","1789.46","0.00","0.00","447.37","0.00","447.37","447.37","0","14","2.98","15.5","0.00","1789.46","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"153","13","C0261","Stonegate Maintenance Supply","MRO Reseller","Southwest","Low","COL-06","Sam Horowitz","Small Business","2/10NET30","1910.43","1910.43","0.00","1161.96","664.73","290.49","446.86","446.86","0","42","2.94","-15.2","0.00","1910.43","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"154","26","C0308","Frontier Contracting - Midwest","Contractor","Midwest","Medium","COL-04","Tomas Okafor","Commercial","NET30","10067.31","1720.43","0.00","0.00","430.11","0.00","430.11","430.11","0","12","28.76","11.3","0.00","10067.31","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"155","27","C0013","Riverbend Contracting","Contractor","Southwest","Medium","COL-04","Tomas Okafor","Commercial","NET60","16336.89","1707.74","0.00","0.00","426.94","0.00","426.94","426.94","0","8","21.78","14.5","0.00","16336.89","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"156","28","C0252","Ironbridge School District","Institutional","Midwest","Low","COL-04","Tomas Okafor","Commercial","NET90","42279.45","826.47","0.00","0.00","413.24","0.00","413.24","413.24","0","50","60.40","21.4","0.00","42279.45","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"157","32","C0284","Apex Manufacturing - Southwest 3","OEM Manufacturer","Southwest","Low","COL-02","Marcus Bell","Strategic Accounts","NET60","66919.01","1643.24","0.00","0.00","410.81","0.00","410.81","410.81","0","1","24.33","5.2","0.00","66919.01","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"158","29","C0362","Ironbridge Construction","Contractor","Southeast","Medium","COL-04","Tomas Okafor","Commercial","2/10NET30","816.10","816.10","0.00","0.00","408.05","0.00","408.05","408.05","0","40","3.26","-3.1","0.00","816.10","0","COLLECTION_CALL","0","0","Collection call: oldest item is more than 30 days past due."
"159","16","C0183","Oakmont Maintenance Supply","MRO Reseller","West","High","COL-05","Grace Lindqvist","Small Business","NET30","6474.81","3682.24","1677.21","515.36","2178.47","128.84","404.63","404.63","0","245","6.47","24.2","1677.21","4797.60","0","ESCALATE","0","1","Escalate: high-risk account carrying a 90+ balance. Hold further shipments and agree a payment plan or refer for recovery."
"160","30","C0081","Crestview Builders","Contractor","Southeast","Low","COL-04","Tomas Okafor","Commercial","NET30","7364.19","1534.31","0.00","0.00","383.58","0.00","383.58","383.58","0","20","24.55","10.7","0.00","7364.19","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"161","17","C0040","Apex MRO Services","MRO Reseller","Northeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","4495.42","1463.02","0.00","0.00","365.76","0.00","365.76","365.76","0","19","9.99","11.2","0.00","4495.42","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"162","36","C0084","Granite Construction","Contractor","Southwest","Medium","COL-03","Elena Ruiz","Commercial","2/10NET30","11143.40","4742.58","919.96","0.00","2089.97","0.00","348.16","348.16","0","572","7.69","-5.8","1741.81","9401.59","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"163","37","C0379","Ironbridge Electric - Midwest 3","Contractor","Midwest","Medium","COL-03","Elena Ruiz","Commercial","NET30","11463.51","1368.42","0.00","0.00","342.11","0.00","342.11","342.11","0","14","10.42","16.3","0.00","11463.51","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"164","14","C0179","Riverbend Supply Co.","MRO Reseller","Midwest","Medium","COL-06","Sam Horowitz","Small Business","2/10NET30","5813.91","1356.38","0.00","0.00","339.10","0.00","339.10","339.10","0","5","7.75","-7.0","0.00","5813.91","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"165","35","C0393","Silverline Components - West 3","OEM Manufacturer","West","Low","COL-01","Priya Natarajan","Strategic Accounts","NET45","69926.78","7987.73","2607.46","5380.27","3952.53","1345.07","336.27","336.27","0","391","16.85","4.1","2607.46","67319.32","0","RESOLVE_DISPUTE","0","0","Route to billing/sales: most of this balance is disputed and will not pay until the dispute closes."
"166","33","C0371","Pioneer Water Authority","Institutional","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET90","33080.32","1311.99","0.00","0.00","328.00","0.00","328.00","328.00","0","6","16.14","21.2","0.00","33080.32","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"167","18","C0001","Silverline MRO Services","MRO Reseller","Northeast","Medium","COL-05","Grace Lindqvist","Small Business","NET30","13872.98","8767.54","1263.09","3115.69","3139.20","778.92","282.75","282.75","0","389","11.56","13.3","2272.26","11600.72","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
"168","34","C0100","Stonegate University Facilities - Southeast","Institutional","Southeast","Low","COL-02","Marcus Bell","Strategic Accounts","NET90","25010.20","1056.16","0.00","0.00","264.04","0.00","264.04","264.04","0","8","11.63","20.0","0.00","25010.20","0","STANDARD_DUNNING","0","0","Standard dunning letter and follow-up call."
"169","15","C0104","Granite Industrial Supply","MRO Reseller","Midwest","Low","COL-06","Sam Horowitz","Small Business","NET30","8748.88","1047.16","0.00","0.00","261.79","0.00","261.79","261.79","0","25","8.33","4.4","0.00","8748.88","0","COURTESY_REMINDER","0","0","Courtesy reminder only: this account normally pays on time, so treat it as an oversight."
"170","16","C0246","Lakeshore Industrial Supply","MRO Reseller","Southeast","Low","COL-06","Sam Horowitz","Small Business","NET30","14261.24","1502.17","471.72","0.00","729.33","0.00","257.61","257.61","0","486","15.85","6.2","471.72","13789.52","0","FINAL_NOTICE","0","0","Issue a final notice on the 90+ balance and confirm a payment date in writing."
