"RequirementID","Title","ReqType","Priority","SubsystemCode","SubsystemName","Criticality","MinTestLevel","RequiresIndependentTester","TotalCases","CasesWithRuns","PassingCases","BlockedCases","LastPassBuild","LastGoodBuild","PassingButUnderLevelled","PassingButSelfVerified","HasEvidence","MeetsPolicy","StaleByCode","StaleByRequirement","IsCurrent","VerificationState","InterveningBuilds","AsOfBuild"
"REQ-0132","The payload shall inhibit release when flight control interface behaviour case 132","Safety","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","2","2","2","0","71","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0133","The interface shall exchange, without loss, flight control interface behaviour case 133","Interface","MustShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0134","The subsystem shall complete, within budget, ground control software behaviour case 134","Performance","MustShip","GND-CTRL","Ground Control Software","Support","HIL","0","4","4","4","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0137","The system shall provide structural interface behaviour case 137","Functional","MustShip","STRUCT-I","Structural Interface","Safety","Integration","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0138","The interface shall exchange, without loss, flight control interface behaviour case 138","Interface","Nice","FLT-CTRL","Flight Control Interface","Safety","Integration","0","4","4","3","0","65","65","1","0","1","1","1","0","0","Stale - subsystem changed","17","88"
"REQ-0139","The subsystem shall complete, within budget, structural interface behaviour case 139","Performance","ShouldShip","STRUCT-I","Structural Interface","Safety","HIL","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0140","The subsystem shall complete, within budget, power management behaviour case 140","Performance","MustShip","PWR-MGMT","Power Management","Mission","HIL","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0141","The interface shall exchange, without loss, payload release mechanism behaviour case 141","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","1","1","1","0","59","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0142","The system shall provide ground control software behaviour case 142","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0143","The system shall provide payload release mechanism behaviour case 143","Functional","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0144","The system shall provide diagnostics & logging behaviour case 144","Functional","MustShip","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0145","The system shall provide diagnostics & logging behaviour case 145","Functional","Nice","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0146","The payload shall inhibit release when structural interface behaviour case 146","Safety","MustShip","STRUCT-I","Structural Interface","Safety","HIL","1","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0147","The interface shall exchange, without loss, payload release mechanism behaviour case 147","Interface","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","3","3","3","0","88","61","2","0","1","1","1","0","0","Stale - subsystem changed","20","88"
"REQ-0148","The payload shall inhibit release when flight control interface behaviour case 148","Safety","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","4","4","4","0","88","70","3","1","1","1","1","0","0","Stale - subsystem changed","13","88"
"REQ-0149","The payload shall inhibit release when payload release mechanism behaviour case 149","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","1","1","1","0","46","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0150","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 150","Interface","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0151","The system shall provide power management behaviour case 151","Functional","Nice","PWR-MGMT","Power Management","Mission","Integration","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0152","The subsystem shall complete, within budget, diagnostics & logging behaviour case 152","Performance","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","HIL","0","2","2","2","0","88","58","1","0","1","1","1","0","0","Stale - subsystem changed","5","88"
"REQ-0153","The payload shall inhibit release when payload release mechanism behaviour case 153","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0154","The system shall record, for certification, payload release mechanism behaviour case 154","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","Field","1","4","4","4","0","65","65","2","2","1","1","1","0","0","Stale - subsystem changed","16","88"
"REQ-0155","The system shall provide power management behaviour case 155","Functional","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0156","The system shall provide ground control software behaviour case 156","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0157","The payload shall inhibit release when payload release mechanism behaviour case 157","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","4","4","4","0","68","68","3","0","1","1","1","0","0","Stale - subsystem changed","14","88"
"REQ-0158","The payload shall inhibit release when structural interface behaviour case 158","Safety","MustShip","STRUCT-I","Structural Interface","Safety","HIL","1","3","3","3","0","88","88","0","1","1","1","0","0","1","Current","0","88"
"REQ-0159","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 159","Interface","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0160","The system shall provide navigation & sensor fusion behaviour case 160","Functional","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","2","2","2","0","63","63","0","0","1","1","1","0","0","Stale - subsystem changed","2","88"
"REQ-0161","The system shall record, for certification, power management behaviour case 161","Regulatory","MustShip","PWR-MGMT","Power Management","Mission","Field","1","4","4","2","1","69","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0162","The subsystem shall complete, within budget, power management behaviour case 162","Performance","ShouldShip","PWR-MGMT","Power Management","Mission","HIL","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0163","The system shall provide diagnostics & logging behaviour case 163","Functional","Nice","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0164","The subsystem shall complete, within budget, payload release mechanism behaviour case 164","Performance","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0165","The system shall provide payload release mechanism behaviour case 165","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","4","4","4","0","71","71","0","0","1","1","1","0","0","Stale - subsystem changed","12","88"
"REQ-0166","The payload shall inhibit release when payload release mechanism behaviour case 166","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","3","3","2","0","54","54","0","0","1","1","1","0","0","Stale - subsystem changed","22","88"
"REQ-0167","The payload shall inhibit release when payload release mechanism behaviour case 167","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","2","2","1","1","65","65","0","0","1","1","1","0","0","Stale - subsystem changed","16","88"
"REQ-0168","The system shall provide ground control software behaviour case 168","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0169","The subsystem shall complete, within budget, payload release mechanism behaviour case 169","Performance","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","0","2","2","1","1","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0170","The system shall provide ground control software behaviour case 170","Functional","Nice","GND-CTRL","Ground Control Software","Support","Integration","0","4","4","4","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0171","The subsystem shall complete, within budget, power management behaviour case 171","Performance","ShouldShip","PWR-MGMT","Power Management","Mission","HIL","0","3","3","2","1","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0172","The payload shall inhibit release when navigation & sensor fusion behaviour case 172","Safety","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","1","3","3","3","0","88","","3","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0173","The system shall provide command & telemetry link behaviour case 173","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","4","4","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0175","The subsystem shall complete, within budget, command & telemetry link behaviour case 175","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0176","The system shall record, for certification, payload release mechanism behaviour case 176","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","Field","1","1","1","0","1","","","0","0","0","0","0","0","0","No evidence","0","88"
"REQ-0177","The system shall provide command & telemetry link behaviour case 177","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0178","The system shall provide flight control interface behaviour case 178","Functional","MustShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","1","1","1","0","47","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0180","The interface shall exchange, without loss, ground control software behaviour case 180","Interface","Nice","GND-CTRL","Ground Control Software","Support","Integration","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0181","The payload shall inhibit release when payload release mechanism behaviour case 181","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0182","The subsystem shall complete, within budget, structural interface behaviour case 182","Performance","Nice","STRUCT-I","Structural Interface","Safety","HIL","0","4","4","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0184","The subsystem shall complete, within budget, power management behaviour case 184","Performance","Nice","PWR-MGMT","Power Management","Mission","HIL","0","2","2","2","0","88","48","1","0","1","1","1","0","0","Stale - subsystem changed","2","88"
"REQ-0185","The system shall provide ground control software behaviour case 185","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","2","2","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0186","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 186","Interface","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0187","The system shall record, for certification, flight control interface behaviour case 187","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","Field","1","1","1","1","0","55","55","0","0","1","1","1","0","0","Stale - subsystem changed","22","88"
"REQ-0188","The system shall provide structural interface behaviour case 188","Functional","ShouldShip","STRUCT-I","Structural Interface","Safety","Integration","0","3","3","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0189","The payload shall inhibit release when flight control interface behaviour case 189","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","1","1","1","0","59","","1","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0190","The system shall provide command & telemetry link behaviour case 190","Functional","Nice","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0191","The payload shall inhibit release when payload release mechanism behaviour case 191","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","3","3","3","0","65","65","1","1","1","1","1","0","0","Stale - subsystem changed","16","88"
"REQ-0193","The system shall provide command & telemetry link behaviour case 193","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0194","The system shall record, for certification, power management behaviour case 194","Regulatory","MustShip","PWR-MGMT","Power Management","Mission","Field","1","2","2","2","0","88","","1","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0195","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 195","Performance","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","4","4","4","0","88","88","3","0","1","1","0","0","1","Current","0","88"
"REQ-0196","The payload shall inhibit release when command & telemetry link behaviour case 196","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","1","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0197","The system shall provide navigation & sensor fusion behaviour case 197","Functional","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","4","4","2","1","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0198","The system shall record, for certification, payload release mechanism behaviour case 198","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","Field","1","4","4","4","0","69","60","3","2","1","1","1","0","0","Stale - subsystem changed","20","88"
"REQ-0199","The subsystem shall complete, within budget, diagnostics & logging behaviour case 199","Performance","MustShip","DIAG-LOG","Diagnostics & Logging","Support","HIL","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0200","The system shall provide navigation & sensor fusion behaviour case 200","Functional","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","4","4","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0201","The interface shall exchange, without loss, diagnostics & logging behaviour case 201","Interface","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0203","The payload shall inhibit release when flight control interface behaviour case 203","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","4","4","4","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0204","The system shall provide navigation & sensor fusion behaviour case 204","Functional","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","4","4","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0205","The subsystem shall complete, within budget, power management behaviour case 205","Performance","ShouldShip","PWR-MGMT","Power Management","Mission","HIL","0","2","2","1","1","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0206","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 206","Performance","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0207","The interface shall exchange, without loss, diagnostics & logging behaviour case 207","Interface","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0208","The interface shall exchange, without loss, flight control interface behaviour case 208","Interface","MustShip","FLT-CTRL","Flight Control Interface","Safety","Integration","0","2","2","2","0","67","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0209","The system shall provide navigation & sensor fusion behaviour case 209","Functional","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0210","The payload shall inhibit release when flight control interface behaviour case 210","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0211","The interface shall exchange, without loss, payload release mechanism behaviour case 211","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","2","2","0","0","","","0","0","0","0","0","0","0","No evidence","0","88"
"REQ-0212","The subsystem shall complete, within budget, diagnostics & logging behaviour case 212","Performance","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","HIL","0","2","2","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0213","The interface shall exchange, without loss, command & telemetry link behaviour case 213","Interface","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0214","The system shall provide ground control software behaviour case 214","Functional","Nice","GND-CTRL","Ground Control Software","Support","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0215","The system shall provide navigation & sensor fusion behaviour case 215","Functional","Nice","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0216","The interface shall exchange, without loss, command & telemetry link behaviour case 216","Interface","Nice","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","4","4","4","0","88","49","1","0","1","1","1","0","0","Stale - subsystem changed","6","88"
"REQ-0217","The payload shall inhibit release when payload release mechanism behaviour case 217","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","1","1","1","0","40","40","0","0","1","1","1","0","0","Stale - subsystem changed","25","88"
"REQ-0218","The interface shall exchange, without loss, power management behaviour case 218","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0219","The system shall provide ground control software behaviour case 219","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0220","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 220","Performance","Nice","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","2","2","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0221","The payload shall inhibit release when command & telemetry link behaviour case 221","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","1","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0222","The system shall provide payload release mechanism behaviour case 222","Functional","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","3","3","2","0","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0223","The subsystem shall complete, within budget, ground control software behaviour case 223","Performance","MustShip","GND-CTRL","Ground Control Software","Support","HIL","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0224","The payload shall inhibit release when command & telemetry link behaviour case 224","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","1","3","3","2","1","88","","1","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0225","The payload shall inhibit release when flight control interface behaviour case 225","Safety","MustShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","1","1","1","0","51","51","0","0","1","1","1","0","0","Stale - subsystem changed","23","88"
"REQ-0226","The payload shall inhibit release when structural interface behaviour case 226","Safety","ShouldShip","STRUCT-I","Structural Interface","Safety","HIL","1","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0227","The interface shall exchange, without loss, power management behaviour case 227","Interface","ShouldShip","PWR-MGMT","Power Management","Mission","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0228","The system shall record, for certification, command & telemetry link behaviour case 228","Regulatory","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Field","1","2","2","1","0","88","","1","1","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0229","The interface shall exchange, without loss, power management behaviour case 229","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","3","3","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0230","The system shall provide flight control interface behaviour case 230","Functional","Nice","FLT-CTRL","Flight Control Interface","Safety","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0231","The interface shall exchange, without loss, command & telemetry link behaviour case 231","Interface","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","4","4","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0232","The payload shall inhibit release when payload release mechanism behaviour case 232","Safety","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0233","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 233","Interface","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","Integration","0","3","3","2","1","88","","2","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0234","The system shall provide ground control software behaviour case 234","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","Integration","0","3","3","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0235","The system shall record, for certification, flight control interface behaviour case 235","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","Field","1","3","3","3","0","68","37","1","1","1","1","1","0","0","Stale - subsystem changed","29","88"
"REQ-0236","The subsystem shall complete, within budget, ground control software behaviour case 236","Performance","ShouldShip","GND-CTRL","Ground Control Software","Support","HIL","0","4","4","4","0","88","88","3","0","1","1","0","0","1","Current","0","88"
"REQ-0237","The subsystem shall complete, within budget, power management behaviour case 237","Performance","ShouldShip","PWR-MGMT","Power Management","Mission","HIL","0","4","4","4","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0239","The interface shall exchange, without loss, power management behaviour case 239","Interface","ShouldShip","PWR-MGMT","Power Management","Mission","Integration","0","1","1","0","0","","","0","0","0","0","0","0","0","No evidence","0","88"
"REQ-0240","The system shall provide payload release mechanism behaviour case 240","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","4","4","3","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0241","The system shall provide ground control software behaviour case 241","Functional","Nice","GND-CTRL","Ground Control Software","Support","Integration","0","1","1","0","0","","","0","0","0","0","0","0","0","No evidence","0","88"
"REQ-0242","The payload shall inhibit release when command & telemetry link behaviour case 242","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","1","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0243","The payload shall inhibit release when flight control interface behaviour case 243","Safety","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","2","2","1","0","45","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0244","The interface shall exchange, without loss, command & telemetry link behaviour case 244","Interface","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0245","The subsystem shall complete, within budget, flight control interface behaviour case 245","Performance","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","HIL","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0246","The payload shall inhibit release when payload release mechanism behaviour case 246","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0247","The subsystem shall complete, within budget, command & telemetry link behaviour case 247","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","3","3","3","0","88","","3","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0248","The subsystem shall complete, within budget, power management behaviour case 248","Performance","ShouldShip","PWR-MGMT","Power Management","Mission","HIL","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0249","The subsystem shall complete, within budget, command & telemetry link behaviour case 249","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","HIL","0","2","2","0","1","","","0","0","0","0","0","0","0","No evidence","0","88"
"REQ-0250","The interface shall exchange, without loss, diagnostics & logging behaviour case 250","Interface","Nice","DIAG-LOG","Diagnostics & Logging","Support","Integration","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0251","The system shall provide ground control software behaviour case 251","Functional","MustShip","GND-CTRL","Ground Control Software","Support","Integration","0","3","3","3","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0252","The payload shall inhibit release when payload release mechanism behaviour case 252","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","4","4","3","0","88","49","2","0","1","1","1","0","0","Stale - subsystem changed","22","88"
"REQ-0253","The system shall record, for certification, flight control interface behaviour case 253","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","Field","1","4","4","3","0","69","50","0","1","1","1","1","1","0","Stale - requirement changed","24","88"
"REQ-0254","The interface shall exchange, without loss, command & telemetry link behaviour case 254","Interface","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0255","The payload shall inhibit release when flight control interface behaviour case 255","Safety","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","HIL","1","3","3","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0256","The subsystem shall complete, within budget, power management behaviour case 256","Performance","ShouldShip","PWR-MGMT","Power Management","Mission","HIL","0","1","1","1","0","88","","1","0","1","0","0","0","0","Insufficient evidence","0","88"
"REQ-0257","The interface shall exchange, without loss, power management behaviour case 257","Interface","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","3","3","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0258","The payload shall inhibit release when payload release mechanism behaviour case 258","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","1","2","2","2","0","36","36","0","0","1","1","1","0","0","Stale - subsystem changed","28","88"
"REQ-0259","The system shall provide ground control software behaviour case 259","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","Integration","0","3","3","3","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0260","The interface shall exchange, without loss, payload release mechanism behaviour case 260","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","1","1","1","0","55","55","0","0","1","1","1","0","0","Stale - subsystem changed","22","88"
"REQ-0261","The system shall provide ground control software behaviour case 261","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","Integration","0","1","1","1","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0262","The subsystem shall complete, within budget, payload release mechanism behaviour case 262","Performance","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","HIL","0","2","2","2","0","64","64","0","0","1","1","1","0","0","Stale - subsystem changed","17","88"
"REQ-0263","The system shall provide command & telemetry link behaviour case 263","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","Integration","0","2","2","2","0","88","88","1","0","1","1","0","0","1","Current","0","88"
"REQ-0264","The system shall provide structural interface behaviour case 264","Functional","MustShip","STRUCT-I","Structural Interface","Safety","Integration","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0265","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 265","Performance","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","HIL","0","2","2","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0266","The interface shall exchange, without loss, payload release mechanism behaviour case 266","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","Integration","0","1","1","0","0","","","0","0","0","0","0","0","0","No evidence","0","88"
"REQ-0267","The interface shall exchange, without loss, power management behaviour case 267","Interface","Nice","PWR-MGMT","Power Management","Mission","Integration","0","3","3","2","0","88","88","0","0","1","1","0","0","1","Current","0","88"
"REQ-0268","The system shall provide power management behaviour case 268","Functional","MustShip","PWR-MGMT","Power Management","Mission","Integration","0","4","4","4","0","88","88","2","0","1","1","0","0","1","Current","0","88"
"REQ-0269","The subsystem shall complete, within budget, payload release mechanism behaviour case 269","Performance","MustShip","REL-MECH","Payload Release Mechanism","Safety","HIL","0","2","2","1","0","51","51","0","0","1","1","1","0","0","Stale - subsystem changed","22","88"
