"PriorityRank","BuyerRank","PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","IsSingleSource","VendorID","VendorName","VendorTier","LumenRevenueSharePct","BuyerID","BuyerName","Team","FirstPrice","LastPrice","ExpectedPrice","BenchmarkErosionPct","ActualErosionPct","ErosionCapturePct","ErosionGapPerUnit","TTMQty","TTMSpend","AnnualOpportunity","RejectedValue","PPV","OffContractSpend","AcceptanceRatePct","LeverageScore","ActionCode","IsThisQuarter","RecommendedAction"
"64","9","LOM-0033","Photodetector Module 0033","Photodetector","Standard","1","2","1","VEN-003","Crystalline GmbH","Strategic","3.69","BUY-02","Rafael Duarte","Optoelectronics","230.5516","201.7996","191.1701","6.50","4.667","71.80","10.6295","1743","362542.50","18527.30","3959.69","","362542.50","98.84","37.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"65","18","LOM-0011","Lens Assembly Module 0011","Lens Assembly","Standard","3","5","0","VEN-036","Aperture Technologies","Transactional","30.07","BUY-03","Mei-Ling Chow","Optics & Coatings","350.5554","348.8349","323.1253","3.00","0.184","6.13","25.7096","707","254892.28","18176.70","2235.35","","254892.28","98.62","93.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"66","9","LOM-0007","Thermal Control Module 0007","Thermal Control","Standard","3","5","0","VEN-033","Oribel Technologies","Transactional","17.66","BUY-05","Priya Raghunathan","Mechanical & Thermal","157.1048","153.1823","134.9582","5.50","0.937","17.04","18.2241","997","152579.23","18169.42","1369.10","","152579.23","99.10","93.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"67","19","LOM-0058","Optical Fibre Module 0058","Optical Fibre","Standard","3","4","0","VEN-023","Kestrel Optical Industries","Approved","6.75","BUY-03","Mei-Ling Chow","Optics & Coatings","55.5447","50.4158","49.2790","4.00","3.250","81.25","1.1368","15515","781906.11","17637.67","3281.78","-9498.43","0.00","99.41","70.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"68","10","LOM-0113","Photodetector Module 0113","Photodetector","Standard","2","3","0","VEN-010","Vectra GmbH","Preferred","5.43","BUY-02","Rafael Duarte","Optoelectronics","354.3643","318.8069","295.9546","6.50","3.868","59.51","22.8523","770","255417.23","17596.29","1982.93","-2273.74","0.00","99.16","56.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"69","15","LOM-0098","Optical Fibre Component 0098","Optical Fibre","Commodity","3","1","0","VEN-021","Oribel Industries","Approved","7.24","BUY-04","Johan Lindberg","Optics & Coatings","41.8861","40.5531","37.6544","4.00","1.232","30.80","2.8987","5942","239544.16","17224.08","1403.09","-2888.01","0.00","99.24","77.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"70","20","LOM-0131","Lens Assembly Assy 0131","Lens Assembly","Critical","1","6","1","VEN-006","Northlight GmbH","Strategic","4.77","BUY-03","Mei-Ling Chow","Optics & Coatings","206.0489","200.9084","189.3427","3.00","0.906","30.20","11.5657","1458","291900.54","16862.78","5395.14","562.55","0.00","98.05","27.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"71","10","LOM-0023","Thermal Control Module 0023","Thermal Control","Standard","3","5","0","VEN-022","Vectra Industries","Approved","12.65","BUY-05","Priya Raghunathan","Mechanical & Thermal","255.6455","237.4212","219.7073","5.50","2.724","49.53","17.7139","939","223646.53","16633.35","1648.18","492.72","0.00","99.10","79.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"72","11","LOM-0121","Photodetector Component 0121","Photodetector","Commodity","2","0","0","VEN-009","Oribel GmbH","Preferred","9.47","BUY-02","Rafael Duarte","Optoelectronics","290.7632","290.1118","246.8851","6.50","0.092","1.42","43.2267","381","110576.50","16469.37","870.66","0.00","0.00","99.19","72.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"73","2","LOM-0063","Thermal Control Component 0063","Thermal Control","Commodity","3","1","0","VEN-005","Helix Optics GmbH","Strategic","1.75","BUY-06","Tomas Varga","Mechanical & Thermal","257.9332","258.8171","226.5672","5.50","-0.149","-2.71","32.2499","505","129357.78","16286.18","1016.55","1019.60","0.00","99.15","69.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"74","21","LOM-0028","Optical Coating Module 0028","Optical Coating","Standard","3","5","0","VEN-001","Lumitek GmbH","Strategic","1.37","BUY-03","Mei-Ling Chow","Optics & Coatings","144.1571","130.7909","124.9865","5.00","3.438","68.76","5.8044","2730","356890.28","15846.12","5494.08","745.39","0.00","98.32","62.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"75","22","LOM-0094","Fibre Connector Module 0094","Fibre Connector","Standard","3","5","0","VEN-014","Photonica Industries","Preferred","4.81","BUY-03","Mei-Ling Chow","Optics & Coatings","24.6179","23.3143","20.0663","7.00","1.913","27.33","3.2480","4757","110300.62","15450.57","881.38","150.86","0.00","99.20","70.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"76","23","LOM-0092","Optical Coating Component 0092","Optical Coating","Commodity","3","0","0","VEN-012","Aperture Industries","Preferred","4.72","BUY-03","Mei-Ling Chow","Optics & Coatings","62.3935","61.2727","54.2406","5.00","0.662","13.24","7.0321","2178","132803.72","15315.89","1997.05","0.00","109709.15","98.48","81.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"77","16","LOM-0078","Fibre Connector Assy 0078","Fibre Connector","Critical","1","7","1","VEN-034","Vectra Technologies","Transactional","34.49","BUY-04","Johan Lindberg","Optics & Coatings","10.0604","9.8642","8.3051","7.00","0.743","10.61","1.5591","9725","96484.25","15162.23","623.50","-669.36","0.00","99.20","46.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"78","11","LOM-0109","Precision Mount Assy 0109","Precision Mount","Critical","1","7","1","VEN-010","Vectra GmbH","Preferred","5.43","BUY-05","Priya Raghunathan","Mechanical & Thermal","211.7856","208.8246","199.6574","2.00","0.481","24.05","9.1672","1624","343371.67","14887.57","2545.06","793.05","0.00","99.16","27.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"79","12","LOM-0073","Photodetector Component 0073","Photodetector","Commodity","2","0","0","VEN-019","Quantex Industries","Approved","16.00","BUY-02","Rafael Duarte","Optoelectronics","146.5396","158.1124","124.9118","6.50","-3.250","-50.00","33.2006","442","71954.62","14674.67","815.87","","71954.62","98.87","86.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"80","3","LOM-0079","Thermal Control Module 0079","Thermal Control","Standard","1","2","1","VEN-028","Spectra Technologies","Approved","8.62","BUY-06","Tomas Varga","Mechanical & Thermal","152.2891","144.5094","130.4814","5.50","1.901","34.56","14.0280","1010","146322.33","14168.28","144.51","-344.20","0.00","99.84","50.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"81","12","LOM-0055","Thermal Control Component 0055","Thermal Control","Commodity","3","1","0","VEN-025","Lumitek Technologies","Approved","14.26","BUY-05","Priya Raghunathan","Mechanical & Thermal","113.5119","108.5623","97.2681","5.50","1.620","29.45","11.2942","1160","125932.28","13101.27","1085.60","0.00","0.00","99.14","86.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"82","24","LOM-0132","Optical Coating Assy 0132","Optical Coating","Critical","3","11","0","VEN-005","Helix Optics GmbH","Strategic","1.75","BUY-03","Mei-Ling Chow","Optics & Coatings","144.1750","132.0563","125.5482","5.00","3.203","64.06","6.5081","1997","272611.60","12996.75","2748.74","","272611.60","98.88","53.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"83","25","LOM-0122","Optical Fibre Component 0122","Optical Fibre","Commodity","2","0","0","VEN-035","Kestrel Optical Technologies","Transactional","36.86","BUY-03","Mei-Ling Chow","Optics & Coatings","12.3870","12.0460","11.0943","4.00","1.029","25.73","0.9517","13437","163132.38","12788.36","1029.30","0.00","122626.99","99.14","86.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"84","17","LOM-0138","Optical Fibre Module 0138","Optical Fibre","Standard","3","4","0","VEN-026","Photonica Technologies","Approved","9.22","BUY-04","Johan Lindberg","Optics & Coatings","37.1436","35.9250","33.3760","4.00","1.265","31.63","2.5490","4839","173841.09","12334.61","898.14","0.00","0.00","99.48","79.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"85","26","LOM-0066","Optical Fibre Assy 0066","Optical Fibre","Critical","3","11","0","VEN-017","Helix Optics Industries","Approved","10.21","BUY-03","Mei-Ling Chow","Optics & Coatings","25.0522","23.0060","22.3135","4.00","2.959","73.98","0.6925","17639","406880.67","12215.01","2170.28","1077.83","0.00","99.32","66.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"86","18","LOM-0010","Optical Fibre Module 0010","Optical Fibre","Standard","3","5","0","VEN-006","Northlight GmbH","Strategic","4.77","BUY-04","Johan Lindberg","Optics & Coatings","39.4560","36.7183","35.5727","4.00","2.794","69.85","1.1456","10527","382655.51","12059.22","2492.91","-4011.90","0.00","99.34","70.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"87","27","LOM-0044","Optical Coating Assy 0044","Optical Coating","Critical","3","11","0","VEN-006","Northlight GmbH","Strategic","4.77","BUY-03","Mei-Ling Chow","Optics & Coatings","108.7921","104.9778","95.1262","5.00","1.354","27.08","9.8516","1220","128326.03","12019.00","1887.50","-459.97","0.00","98.52","57.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"88","19","LOM-0118","Fibre Connector Component 0118","Fibre Connector","Commodity","2","0","0","VEN-029","Helix Optics Technologies","Transactional","36.48","BUY-04","Johan Lindberg","Optics & Coatings","41.2042","38.4880","35.5910","7.00","3.323","47.47","2.8970","4125","161639.83","11950.13","1489.21","0.00","0.00","99.08","82.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"89","20","LOM-0102","Fibre Connector Component 0102","Fibre Connector","Commodity","2","0","0","VEN-010","Vectra GmbH","Preferred","5.43","BUY-04","Johan Lindberg","Optics & Coatings","24.7823","23.3566","20.5284","7.00","2.257","32.24","2.8282","4035","94243.88","11411.79","747.41","0.00","0.00","99.21","63.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"90","28","LOM-0076","Optical Coating Module 0076","Optical Coating","Standard","2","3","0","VEN-032","Meridian Photonics Technologies","Transactional","28.30","BUY-03","Mei-Ling Chow","Optics & Coatings","75.6437","72.6260","67.2846","5.00","1.767","35.34","5.3414","2132","154072.79","11387.83","2457.08","70.07","0.00","98.41","75.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"91","21","LOM-0027","Lens Assembly Component 0027","Lens Assembly","Commodity","3","1","0","VEN-013","Lumitek Industries","Preferred","9.15","BUY-04","Johan Lindberg","Optics & Coatings","264.1759","265.5166","242.0112","3.00","-0.176","-5.87","23.5054","478","126145.13","11235.60","1571.19","","126145.13","98.63","90.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"92","22","LOM-0139","Lens Assembly Assy 0139","Lens Assembly","Critical","2","10","0","VEN-017","Helix Optics Industries","Approved","10.21","BUY-04","Johan Lindberg","Optics & Coatings","213.4624","207.9658","196.4661","3.00","0.953","31.77","11.4997","966","201893.77","11108.71","1877.16","216.85","0.00","98.93","52.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"93","29","LOM-0070","Fibre Connector Component 0070","Fibre Connector","Commodity","3","1","0","VEN-007","Quantex GmbH","Preferred","10.21","BUY-03","Mei-Ling Chow","Optics & Coatings","16.8221","15.3193","13.7747","7.00","3.341","47.73","1.5446","6655","102166.11","10279.31","858.71","0.00","0.00","99.16","86.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"94","13","LOM-0117","Precision Mount Component 0117","Precision Mount","Commodity","2","0","0","VEN-019","Quantex Industries","Approved","16.00","BUY-05","Priya Raghunathan","Mechanical & Thermal","161.5151","168.8391","153.0521","2.00","-1.679","-83.95","15.7870","649","108826.11","10245.73","844.10","","108826.11","99.21","86.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"95","23","LOM-0018","Optical Fibre Component 0018","Optical Fibre","Commodity","3","1","0","VEN-004","Spectra GmbH","Strategic","1.51","BUY-04","Johan Lindberg","Optics & Coatings","36.2883","35.1199","33.6886","4.00","1.782","44.55","1.4313","7045","244452.42","10083.51","1599.35","-3578.29","0.00","99.35","69.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"96","4","LOM-0119","Thermal Control Module 0119","Thermal Control","Standard","2","3","0","VEN-003","Crystalline GmbH","Strategic","3.69","BUY-06","Tomas Varga","Mechanical & Thermal","162.8912","150.5781","140.8023","5.50","3.005","54.64","9.7758","1022","154190.83","9990.84","1194.82","-3048.05","0.00","99.12","48.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"97","30","LOM-0062","Fibre Connector Module 0062","Fibre Connector","Standard","2","3","0","VEN-034","Vectra Technologies","Transactional","34.49","BUY-03","Mei-Ling Chow","Optics & Coatings","10.6486","9.8320","8.6747","7.00","2.784","39.77","1.1573","8400","83090.64","9721.16","735.62","-662.35","0.00","99.02","75.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"98","14","LOM-0069","Precision Mount Module 0069","Precision Mount","Standard","2","4","0","VEN-028","Spectra Technologies","Approved","8.62","BUY-05","Priya Raghunathan","Mechanical & Thermal","68.4702","74.1693","65.1373","2.00","-3.291","-164.55","9.0320","1053","79251.86","9510.72","596.88","","79251.86","99.24","69.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"99","24","LOM-0075","Lens Assembly Module 0075","Lens Assembly","Standard","3","5","0","VEN-030","Northlight Technologies","Transactional","26.40","BUY-04","Johan Lindberg","Optics & Coatings","323.2279","315.6524","298.6812","3.00","0.911","30.37","16.9712","542","171422.70","9198.39","3472.18","260.14","0.00","97.97","89.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"100","5","LOM-0127","Thermal Control Assy 0127","Thermal Control","Critical","2","9","0","VEN-011","Kestrel Optical GmbH","Preferred","3.73","BUY-06","Tomas Varga","Mechanical & Thermal","151.3162","144.0438","130.1917","5.50","1.836","33.38","13.8521","663","96494.47","9183.94","1022.65","0.00","0.00","98.65","35.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"101","25","LOM-0090","Optical Fibre Component 0090","Optical Fibre","Commodity","3","1","0","VEN-026","Photonica Technologies","Approved","9.22","BUY-04","Johan Lindberg","Optics & Coatings","21.7962","20.7708","19.6799","4.00","1.907","47.68","1.0909","8291","176766.84","9044.52","1209.81","0.00","141452.87","99.31","90.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"102","26","LOM-0052","Optical Coating Module 0052","Optical Coating","Standard","2","4","0","VEN-016","Spectra Industries","Preferred","7.82","BUY-04","Johan Lindberg","Optics & Coatings","104.3568","108.7697","93.6233","5.00","-1.976","-39.52","15.1464","581","62967.74","8800.03","1190.57","222.01","0.00","98.11","56.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"103","16","LOM-0049","Photodetector Module 0049","Photodetector","Standard","3","4","0","VEN-009","Oribel GmbH","Preferred","9.47","BUY-01","Adaeze Okonkwo","Optoelectronics","108.3204","103.0488","91.3335","6.50","1.947","29.95","11.7153","739","77444.23","8657.61","526.42","633.54","0.00","99.18","79.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"104","17","LOM-0073","Photodetector Component 0073","Photodetector","Commodity","2","0","0","VEN-007","Quantex GmbH","Preferred","10.21","BUY-01","Adaeze Okonkwo","Optoelectronics","143.1837","137.9843","119.4944","6.50","1.365","21.00","18.4899","451","62230.92","8338.94","689.90","0.00","0.00","98.89","72.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"105","31","LOM-0124","Optical Coating Module 0124","Optical Coating","Standard","3","5","0","VEN-031","Quantex Technologies","Transactional","14.93","BUY-03","Mei-Ling Chow","Optics & Coatings","147.5500","132.0516","127.1758","5.00","3.759","75.18","4.8758","1705","227013.86","8313.24","3593.90","1865.88","0.00","98.30","79.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"106","32","LOM-0054","Fibre Connector Component 0054","Fibre Connector","Commodity","3","1","0","VEN-001","Lumitek GmbH","Strategic","1.37","BUY-03","Mei-Ling Chow","Optics & Coatings","28.7181","24.2990","23.2780","7.00","5.610","80.14","1.0210","8069","195709.11","8238.81","1653.24","-3385.07","0.00","99.09","69.0","RENEGOTIATE","0","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"107","6","LOM-0047","Thermal Control Component 0047","Thermal Control","Commodity","2","0","0","VEN-006","Northlight GmbH","Strategic","4.77","BUY-06","Tomas Varga","Mechanical & Thermal","221.7389","221.7300","195.7131","5.50","0.002","0.04","26.0169","313","69401.49","8143.29","665.19","0.00","0.00","99.04","63.0","RENEGOTIATE","1","Renegotiate: a credible alternative exists and the supplier cares about our volume. Open with the category erosion benchmark."
"108","18","LOM-0032","Laser Diode Component 0032","Laser Diode","Commodity","3","1","0","VEN-024","Aperture Technologies","Approved","18.36","BUY-01","Adaeze Okonkwo","Optoelectronics","190.4380","159.3155","150.5719","8.00","6.137","76.71","8.7436","875","139401.07","7650.65","1274.55","0.00","0.00","99.02","96.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"109","15","LOM-0031","Thermal Control Component 0031","Thermal Control","Commodity","3","1","0","VEN-034","Vectra Technologies","Transactional","34.49","BUY-05","Priya Raghunathan","Mechanical & Thermal","138.9876","135.2999","121.2943","5.50","1.111","20.20","14.0056","539","74250.33","7549.00","555.77","-634.72","0.00","99.26","96.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"110","33","LOM-0036","Optical Coating Module 0036","Optical Coating","Standard","2","4","0","VEN-020","Meridian Photonics Industries","Approved","12.07","BUY-03","Mei-Ling Chow","Optics & Coatings","45.9910","43.1478","39.6587","5.00","2.185","43.70","3.4891","2141","92966.51","7470.13","1217.39","-1440.02","0.00","98.63","65.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"111","7","LOM-0061","Precision Mount Module 0061","Precision Mount","Standard","1","2","1","VEN-035","Kestrel Optical Technologies","Transactional","36.86","BUY-06","Tomas Varga","Mechanical & Thermal","202.4403","197.4195","191.6122","2.00","0.919","45.95","5.8073","1283","257265.86","7450.82","2184.49","-323.86","0.00","99.08","60.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"112","13","LOM-0112","Laser Diode Component 0112","Laser Diode","Commodity","2","0","0","VEN-029","Helix Optics Technologies","Transactional","36.48","BUY-02","Rafael Duarte","Optoelectronics","1034.5934","919.2143","850.1391","8.00","4.898","61.23","69.0752","105","99338.54","7252.90","954.04","0.00","0.00","99.05","82.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"113","16","LOM-0013","Precision Mount Component 0013","Precision Mount","Commodity","1","0","1","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-05","Priya Raghunathan","Mechanical & Thermal","204.3530","200.9955","192.8139","2.00","0.574","28.70","8.1816","850","172120.59","6954.38","1219.13","-586.83","0.00","99.29","41.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"114","34","LOM-0038","Fibre Connector Component 0038","Fibre Connector","Commodity","3","1","0","VEN-035","Kestrel Optical Technologies","Transactional","36.86","BUY-03","Mei-Ling Chow","Optics & Coatings","8.7274","8.2452","7.2220","7.00","2.155","30.79","1.0232","6420","52715.92","6568.94","435.20","-418.40","0.00","99.17","96.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"115","19","LOM-0072","Laser Diode Component 0072","Laser Diode","Commodity","3","1","0","VEN-012","Aperture Industries","Preferred","4.72","BUY-01","Adaeze Okonkwo","Optoelectronics","206.2888","177.7399","163.4040","8.00","5.189","64.86","14.3359","457","84204.51","6551.49","916.02","","84204.51","98.91","81.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"116","27","LOM-0006","Fibre Connector Component 0006","Fibre Connector","Commodity","2","0","0","VEN-028","Spectra Technologies","Approved","8.62","BUY-04","Johan Lindberg","Optics & Coatings","16.2315","15.7446","13.6439","7.00","1.265","18.07","2.1007","3070","48335.93","6449.15","299.14","0.00","0.00","98.77","72.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"117","20","LOM-0065","Photodetector Assy 0065","Photodetector","Critical","3","11","0","VEN-003","Crystalline GmbH","Strategic","3.69","BUY-01","Adaeze Okonkwo","Optoelectronics","201.9087","179.2497","171.6584","6.50","4.810","74.00","7.5913","823","146910.86","6247.64","1235.20","-1820.33","0.00","99.15","49.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"118","17","LOM-0039","Thermal Control Component 0039","Thermal Control","Commodity","3","1","0","VEN-013","Lumitek Industries","Preferred","9.15","BUY-05","Priya Raghunathan","Mechanical & Thermal","216.2135","193.2639","185.6190","5.50","4.076","74.11","7.6449","811","159952.86","6200.00","1383.12","1759.94","0.00","99.09","86.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"119","8","LOM-0031","Thermal Control Component 0031","Thermal Control","Commodity","3","1","0","VEN-003","Crystalline GmbH","Strategic","3.69","BUY-06","Tomas Varga","Mechanical & Thermal","138.9876","133.2430","120.7193","5.50","1.680","30.55","12.5237","480","63724.76","6011.38","0.00","-546.90","0.00","100.00","69.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"120","28","LOM-0068","Optical Coating Module 0068","Optical Coating","Standard","2","2","0","VEN-022","Vectra Industries","Approved","12.65","BUY-04","Johan Lindberg","Optics & Coatings","44.4347","40.9004","38.7217","5.00","3.042","60.84","2.1787","2523","106381.94","5496.86","1587.87","721.15","0.00","98.44","72.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"121","29","LOM-0027","Lens Assembly Component 0027","Lens Assembly","Commodity","3","1","0","VEN-018","Northlight Industries","Approved","17.17","BUY-04","Johan Lindberg","Optics & Coatings","264.1759","257.5196","241.9891","3.00","0.882","29.40","15.5305","349","90085.12","5420.14","1287.60","174.36","0.00","98.57","96.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"122","9","LOM-0087","Thermal Control Component 0087","Thermal Control","Commodity","2","0","0","VEN-028","Spectra Technologies","Approved","8.62","BUY-06","Tomas Varga","Mechanical & Thermal","107.7940","102.6154","93.3771","5.50","1.921","34.93","9.2383","555","57151.45","5127.24","310.90","0.00","34692.20","99.46","76.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
"123","35","LOM-0099","Lens Assembly Module 0099","Lens Assembly","Standard","3","4","0","VEN-006","Northlight GmbH","Strategic","4.77","BUY-03","Mei-Ling Chow","Optics & Coatings","107.2827","104.5202","98.5183","3.00","0.928","30.93","6.0019","807","84169.51","4843.53","1143.65","-178.29","0.00","98.64","70.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"124","18","LOM-0085","Precision Mount Component 0085","Precision Mount","Commodity","3","1","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","BUY-05","Priya Raghunathan","Mechanical & Thermal","107.2010","106.6380","101.5963","2.00","0.198","9.90","5.0417","913","97631.00","4603.07","533.20","270.51","0.00","99.39","77.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"125","36","LOM-0052","Optical Coating Module 0052","Optical Coating","Standard","2","4","0","VEN-024","Aperture Technologies","Approved","18.36","BUY-03","Mei-Ling Chow","Optics & Coatings","108.2711","97.0338","94.3894","5.00","4.014","80.28","2.6444","1736","168450.68","4590.68","2037.70","0.00","0.00","98.58","75.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"126","14","LOM-0081","Photodetector Module 0081","Photodetector","Standard","2","3","0","VEN-026","Photonica Technologies","Approved","9.22","BUY-02","Rafael Duarte","Optoelectronics","374.9974","348.9625","327.5018","6.50","3.508","53.97","21.4607","211","73631.09","4528.21","1064.33","-2254.02","0.00","98.58","65.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"127","10","LOM-0101","Precision Mount Assy 0101","Precision Mount","Critical","1","7","1","VEN-028","Spectra Technologies","Approved","8.62","BUY-06","Tomas Varga","Mechanical & Thermal","199.1737","192.0426","188.9054","2.00","1.382","69.10","3.1372","1341","256192.96","4207.03","1924.90","1070.82","0.00","99.12","36.0","ACCEPT","0","Accept for now: no credible leverage and not enough value to create any. Revisit if volume or the supplier base changes."
"128","30","LOM-0004","Optical Coating Module 0004","Optical Coating","Standard","2","2","0","VEN-001","Lumitek GmbH","Strategic","1.37","BUY-04","Johan Lindberg","Optics & Coatings","76.0924","71.5654","66.7494","5.00","2.373","47.46","4.8160","842","61424.90","4055.07","880.45","","61424.90","98.57","59.0","PUT_ON_CONTRACT","0","Most of this spend has no agreement in force. Put it under contract before attempting to negotiate a price against nothing."
