"PartNumber","PartName","Category","Criticality","QualifiedSupplierCount","QualificationMonths","VendorID","VendorName","VendorTier","LumenRevenueSharePct","FirstDate","LastDate","YearsElapsed","Lines","TotalQty","TotalSpend","TTMQty","TTMSpend","FirstPrice","LastPrice","ExpectedPrice","BenchmarkErosionPct","ToleranceBandPct","ActualErosionPct","ErosionCapturePct","ErosionGapPerUnit","AnnualOpportunity"
"LOM-0069","Precision Mount Module 0069","Precision Mount","Standard","2","4","VEN-028","Spectra Technologies","Approved","8.62","2023-06-02","2025-11-20","2.470","29","2324","169261.00","1053","79251.86","68.4702","74.1693","65.1373","2.00","1.50","-3.291","-164.55","9.0320","9510.72"
"LOM-0075","Lens Assembly Module 0075","Lens Assembly","Standard","3","5","VEN-030","Northlight Technologies","Transactional","26.40","2023-04-24","2025-11-26","2.593","13","1021","324800.11","542","171422.70","323.2279","315.6524","298.6812","3.00","1.50","0.911","30.37","16.9712","9198.39"
"LOM-0127","Thermal Control Assy 0127","Thermal Control","Critical","2","9","VEN-011","Kestrel Optical GmbH","Preferred","3.73","2023-04-07","2025-12-03","2.658","15","1134","167148.84","663","96494.47","151.3162","144.0438","130.1917","5.50","2.00","1.836","33.38","13.8521","9183.94"
"LOM-0090","Optical Fibre Component 0090","Optical Fibre","Commodity","3","1","VEN-026","Photonica Technologies","Approved","9.22","2023-04-28","2025-10-28","2.502","12","14543","309597.33","8291","176766.84","21.7962","20.7708","19.6799","4.00","1.50","1.907","47.68","1.0909","9044.52"
"LOM-0052","Optical Coating Module 0052","Optical Coating","Standard","2","4","VEN-016","Spectra Industries","Preferred","7.82","2023-07-28","2025-09-08","2.116","11","1952","210631.75","581","62967.74","104.3568","108.7697","93.6233","5.00","2.00","-1.976","-39.52","15.1464","8800.03"
"LOM-0049","Photodetector Module 0049","Photodetector","Standard","3","4","VEN-009","Oribel GmbH","Preferred","9.47","2023-05-02","2025-11-14","2.538","26","2323","249076.99","739","77444.23","108.3204","103.0488","91.3335","6.50","2.00","1.947","29.95","11.7153","8657.61"
"LOM-0073","Photodetector Component 0073","Photodetector","Commodity","2","0","VEN-007","Quantex GmbH","Preferred","10.21","2023-03-07","2025-11-14","2.691","24","1839","261557.10","451","62230.92","143.1837","137.9843","119.4944","6.50","2.00","1.365","21.00","18.4899","8338.94"
"LOM-0124","Optical Coating Module 0124","Optical Coating","Standard","3","5","VEN-031","Quantex Technologies","Transactional","14.93","2023-01-11","2025-12-04","2.897","38","5799","812425.27","1705","227013.86","147.5500","132.0516","127.1758","5.00","2.00","3.759","75.18","4.8758","8313.24"
"LOM-0054","Fibre Connector Component 0054","Fibre Connector","Commodity","3","1","VEN-001","Lumitek GmbH","Strategic","1.37","2023-01-23","2025-12-15","2.894","35","18595","486590.20","8069","195709.11","28.7181","24.2990","23.2780","7.00","2.00","5.610","80.14","1.0210","8238.81"
"LOM-0047","Thermal Control Component 0047","Thermal Control","Commodity","2","0","VEN-006","Northlight GmbH","Strategic","4.77","2023-06-08","2025-08-22","2.207","10","765","168686.27","313","69401.49","221.7389","221.7300","195.7131","5.50","2.00","0.002","0.04","26.0169","8143.29"
"LOM-0032","Laser Diode Component 0032","Laser Diode","Commodity","3","1","VEN-024","Aperture Technologies","Approved","18.36","2023-03-03","2025-12-26","2.817","33","2764","476303.08","875","139401.07","190.4380","159.3155","150.5719","8.00","2.00","6.137","76.71","8.7436","7650.65"
"LOM-0031","Thermal Control Component 0031","Thermal Control","Commodity","3","1","VEN-034","Vectra Technologies","Transactional","34.49","2023-07-17","2025-12-12","2.407","27","2297","318386.89","539","74250.33","138.9876","135.2999","121.2943","5.50","2.00","1.111","20.20","14.0056","7549.00"
"LOM-0036","Optical Coating Module 0036","Optical Coating","Standard","2","4","VEN-020","Meridian Photonics Industries","Approved","12.07","2023-01-11","2025-12-01","2.888","41","6741","301194.80","2141","92966.51","45.9910","43.1478","39.6587","5.00","2.00","2.185","43.70","3.4891","7470.13"
"LOM-0061","Precision Mount Module 0061","Precision Mount","Standard","1","2","VEN-035","Kestrel Optical Technologies","Transactional","36.86","2023-03-31","2025-12-19","2.721","43","3570","718633.76","1283","257265.86","202.4403","197.4195","191.6122","2.00","1.50","0.919","45.95","5.8073","7450.82"
"LOM-0112","Laser Diode Component 0112","Laser Diode","Commodity","2","0","VEN-029","Helix Optics Technologies","Transactional","36.48","2023-05-23","2025-09-29","2.355","10","706","693520.54","105","99338.54","1034.5934","919.2143","850.1391","8.00","2.00","4.898","61.23","69.0752","7252.90"
"LOM-0013","Precision Mount Component 0013","Precision Mount","Commodity","1","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-01-16","2025-12-02","2.877","39","2626","538943.50","850","172120.59","204.3530","200.9955","192.8139","2.00","1.50","0.574","28.70","8.1816","6954.38"
"LOM-0038","Fibre Connector Component 0038","Fibre Connector","Commodity","3","1","VEN-035","Kestrel Optical Technologies","Transactional","36.86","2023-03-15","2025-10-23","2.609","24","13010","109500.78","6420","52715.92","8.7274","8.2452","7.2220","7.00","2.00","2.155","30.79","1.0232","6568.94"
"LOM-0072","Laser Diode Component 0072","Laser Diode","Commodity","3","1","VEN-012","Aperture Industries","Preferred","4.72","2023-01-20","2025-11-06","2.795","28","2171","431422.04","457","84204.51","206.2888","177.7399","163.4040","8.00","2.00","5.189","64.86","14.3359","6551.49"
"LOM-0006","Fibre Connector Component 0006","Fibre Connector","Commodity","2","0","VEN-028","Spectra Technologies","Approved","8.62","2023-07-26","2025-12-16","2.393","11","5932","94000.97","3070","48335.93","16.2315","15.7446","13.6439","7.00","2.00","1.265","18.07","2.1007","6449.15"
"LOM-0065","Photodetector Assy 0065","Photodetector","Critical","3","11","VEN-003","Crystalline GmbH","Strategic","3.69","2023-06-05","2025-11-03","2.415","29","2109","397861.17","823","146910.86","201.9087","179.2497","171.6584","6.50","2.00","4.810","74.00","7.5913","6247.64"
"LOM-0039","Thermal Control Component 0039","Thermal Control","Commodity","3","1","VEN-013","Lumitek Industries","Preferred","9.15","2023-04-20","2025-12-30","2.697","33","2780","574272.96","811","159952.86","216.2135","193.2639","185.6190","5.50","2.00","4.076","74.11","7.6449","6200.00"
"LOM-0031","Thermal Control Component 0031","Thermal Control","Commodity","3","1","VEN-003","Crystalline GmbH","Strategic","3.69","2023-06-09","2025-12-05","2.491","12","803","108689.09","480","63724.76","138.9876","133.2430","120.7193","5.50","2.00","1.680","30.55","12.5237","6011.38"
"LOM-0068","Optical Coating Module 0068","Optical Coating","Standard","2","2","VEN-022","Vectra Industries","Approved","12.65","2023-04-18","2025-12-23","2.683","36","7145","310906.21","2523","106381.94","44.4347","40.9004","38.7217","5.00","2.00","3.042","60.84","2.1787","5496.86"
"LOM-0027","Lens Assembly Component 0027","Lens Assembly","Commodity","3","1","VEN-018","Northlight Industries","Approved","17.17","2023-01-16","2025-12-03","2.880","12","1032","268634.64","349","90085.12","264.1759","257.5196","241.9891","3.00","1.50","0.882","29.40","15.5305","5420.14"
"LOM-0087","Thermal Control Component 0087","Thermal Control","Commodity","2","0","VEN-028","Spectra Technologies","Approved","8.62","2023-04-25","2025-11-07","2.538","29","2388","248611.91","555","57151.45","107.7940","102.6154","93.3771","5.50","2.00","1.921","34.93","9.2383","5127.24"
"LOM-0099","Lens Assembly Module 0099","Lens Assembly","Standard","3","4","VEN-006","Northlight GmbH","Strategic","4.77","2023-01-30","2025-11-17","2.798","32","2266","239450.41","807","84169.51","107.2827","104.5202","98.5183","3.00","1.50","0.928","30.93","6.0019","4843.53"
"LOM-0085","Precision Mount Component 0085","Precision Mount","Commodity","3","1","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-04-28","2025-12-24","2.658","32","2573","275362.48","913","97631.00","107.2010","106.6380","101.5963","2.00","1.50","0.198","9.90","5.0417","4603.07"
"LOM-0052","Optical Coating Module 0052","Optical Coating","Standard","2","4","VEN-024","Aperture Technologies","Approved","18.36","2023-03-31","2025-12-02","2.675","32","4883","499181.64","1736","168450.68","108.2711","97.0338","94.3894","5.00","2.00","4.014","80.28","2.6444","4590.68"
"LOM-0081","Photodetector Module 0081","Photodetector","Standard","2","3","VEN-026","Photonica Technologies","Approved","9.22","2023-04-20","2025-04-25","2.015","13","872","314095.85","211","73631.09","374.9974","348.9625","327.5018","6.50","2.00","3.508","53.97","21.4607","4528.21"
"LOM-0101","Precision Mount Assy 0101","Precision Mount","Critical","1","7","VEN-028","Spectra Technologies","Approved","8.62","2023-05-05","2025-12-17","2.620","39","2804","544254.17","1341","256192.96","199.1737","192.0426","188.9054","2.00","1.50","1.382","69.10","3.1372","4207.03"
"LOM-0004","Optical Coating Module 0004","Optical Coating","Standard","2","2","VEN-001","Lumitek GmbH","Strategic","1.37","2023-02-20","2025-09-10","2.554","10","1813","134874.33","842","61424.90","76.0924","71.5654","66.7494","5.00","2.00","2.373","47.46","4.8160","4055.07"
"LOM-0140","Optical Coating Module 0140","Optical Coating","Standard","2","4","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-03-10","2025-12-29","2.806","38","6132","441784.73","2261","155225.25","76.3311","67.7225","66.0989","5.00","2.00","4.175","83.50","1.6236","3670.87"
"LOM-0054","Fibre Connector Component 0054","Fibre Connector","Commodity","3","1","VEN-026","Photonica Technologies","Approved","9.22","2023-03-21","2025-09-02","2.453","11","6941","196535.06","883","24148.48","28.7181","28.0687","24.0350","7.00","2.00","0.928","13.26","4.0337","3561.76"
"LOM-0037","Precision Mount Module 0037","Precision Mount","Standard","2","4","VEN-031","Quantex Technologies","Transactional","14.93","2023-04-26","2025-12-03","2.606","29","2539","305945.69","671","79860.52","119.7901","118.5639","113.6465","2.00","1.50","0.394","19.70","4.9174","3299.58"
"LOM-0093","Precision Mount Module 0093","Precision Mount","Standard","2","4","VEN-010","Vectra GmbH","Preferred","5.43","2023-02-24","2025-12-26","2.836","43","3328","317183.21","1175","111076.02","96.9607","94.2922","91.5615","2.00","1.50","0.979","48.95","2.7307","3208.53"
"LOM-0102","Fibre Connector Component 0102","Fibre Connector","Commodity","2","0","VEN-009","Oribel GmbH","Preferred","9.47","2023-03-10","2025-12-23","2.790","30","17775","411088.14","6387","137637.38","24.4647","20.4809","19.9805","7.00","2.00","6.172","88.17","0.5004","3195.90"
"LOM-0126","Fibre Connector Module 0126","Fibre Connector","Standard","3","4","VEN-007","Quantex GmbH","Preferred","10.21","2023-03-08","2025-11-03","2.658","21","12729","178685.16","4344","56583.00","15.0402","13.1292","12.4017","7.00","2.00","4.983","71.19","0.7275","3160.14"
"LOM-0089","Photodetector Assy 0089","Photodetector","Critical","1","8","VEN-014","Photonica Industries","Preferred","4.81","2023-02-10","2025-12-29","2.883","41","3047","708070.03","984","215560.72","247.3183","206.6903","203.7540","6.50","2.00","6.035","92.85","2.9363","2889.36"
"LOM-0070","Fibre Connector Component 0070","Fibre Connector","Commodity","3","1","VEN-005","Helix Optics GmbH","Strategic","1.75","2023-08-01","2025-11-10","2.278","11","5312","84529.90","1727","25960.35","16.3670","15.2897","13.8731","7.00","2.00","2.945","42.07","1.4166","2446.42"
"LOM-0138","Optical Fibre Module 0138","Optical Fibre","Standard","3","4","VEN-020","Meridian Photonics Industries","Approved","12.07","2023-02-15","2025-12-10","2.817","45","51389","1833123.34","17019","578524.14","37.6164","33.6718","33.5301","4.00","1.50","3.856","96.40","0.1417","2410.89"
"LOM-0114","Optical Fibre Assy 0114","Optical Fibre","Critical","3","11","VEN-027","Crystalline Technologies","Approved","14.24","2023-02-02","2025-10-17","2.705","30","30505","453299.55","5569","78235.03","15.3515","14.1587","13.7466","4.00","1.50","2.946","73.65","0.4121","2294.98"
"LOM-0110","Fibre Connector Component 0110","Fibre Connector","Commodity","3","1","VEN-014","Photonica Industries","Preferred","4.81","2023-04-14","2025-12-16","2.675","26","12007","274573.63","2339","49654.16","24.6963","21.2288","20.3387","7.00","2.00","5.499","78.56","0.8901","2081.94"
"LOM-0059","Lens Assembly Component 0059","Lens Assembly","Commodity","2","0","VEN-034","Vectra Technologies","Transactional","34.49","2023-04-17","2025-07-18","2.253","10","866","210618.59","211","50810.48","245.5689","238.9595","229.2821","3.00","1.50","1.204","40.13","9.6774","2041.93"
"LOM-0022","Fibre Connector Component 0022","Fibre Connector","Commodity","2","0","VEN-012","Aperture Industries","Preferred","4.72","2023-05-18","2025-12-08","2.560","41","22921","217409.18","6822","59773.36","9.9980","8.5964","8.3029","7.00","2.00","5.730","81.86","0.2935","2002.26"
"LOM-0107","Lens Assembly Module 0107","Lens Assembly","Standard","2","3","VEN-018","Northlight Industries","Approved","17.17","2023-04-26","2025-12-22","2.658","11","874","210676.29","486","114631.59","250.0097","234.5550","230.5665","3.00","1.50","2.372","79.07","3.9885","1938.41"
"LOM-0011","Lens Assembly Module 0011","Lens Assembly","Standard","3","5","VEN-031","Quantex Technologies","Transactional","14.93","2023-05-23","2025-11-25","2.511","10","910","311357.25","390","129497.30","350.7170","329.8329","324.8932","3.00","1.50","2.416","80.53","4.9397","1926.48"
"LOM-0071","Thermal Control Component 0071","Thermal Control","Commodity","3","1","VEN-013","Lumitek Industries","Preferred","9.15","2023-02-03","2025-02-12","2.026","11","881","70434.27","221","17666.30","79.9559","79.9380","71.2977","5.50","2.00","0.011","0.20","8.6403","1909.51"
"LOM-0116","Optical Coating Assy 0116","Optical Coating","Critical","2","9","VEN-031","Quantex Technologies","Transactional","14.93","2023-03-14","2025-12-05","2.730","36","5985","284783.89","1566","70028.68","49.9856","44.6581","43.4541","5.00","2.00","4.045","80.90","1.2040","1885.46"
"LOM-0015","Thermal Control Module 0015","Thermal Control","Standard","3","5","VEN-031","Quantex Technologies","Transactional","14.93","2023-04-19","2025-12-25","2.686","36","3096","256520.55","744","58668.90","86.9779","76.9912","74.7169","5.50","2.00","4.439","80.71","2.2743","1692.08"
"LOM-0022","Fibre Connector Component 0022","Fibre Connector","Commodity","2","0","VEN-015","Crystalline Industries","Preferred","3.57","2023-08-15","2025-11-03","2.220","11","5784","58137.23","1352","13447.26","10.2266","9.9462","8.7049","7.00","2.00","1.244","17.77","1.2413","1678.24"
"LOM-0071","Thermal Control Component 0071","Thermal Control","Commodity","3","1","VEN-005","Helix Optics GmbH","Strategic","1.75","2023-01-24","2025-12-30","2.932","27","1963","149481.98","684","48881.47","79.9946","70.0650","67.7683","5.50","2.00","4.419","80.35","2.2967","1570.92"
"LOM-0133","Precision Mount Module 0133","Precision Mount","Standard","2","3","VEN-018","Northlight Industries","Approved","17.17","2023-04-20","2025-10-23","2.511","29","2191","217665.18","458","45100.80","99.1733","97.4973","94.2678","2.00","1.50","0.677","33.85","3.2295","1479.11"
"LOM-0099","Lens Assembly Module 0099","Lens Assembly","Standard","3","4","VEN-010","Vectra GmbH","Preferred","5.43","2023-02-02","2025-10-08","2.680","11","652","69062.56","259","27210.61","107.2827","104.4651","98.8731","3.00","1.50","0.988","32.93","5.5920","1448.33"
"LOM-0116","Optical Coating Assy 0116","Optical Coating","Critical","2","9","VEN-028","Spectra Technologies","Approved","8.62","2023-05-23","2025-12-30","2.606","11","1684","81688.04","503","22905.09","49.6859","46.3132","43.4691","5.00","2.00","2.661","53.22","2.8441","1430.58"
"LOM-0020","Optical Coating Component 0020","Optical Coating","Commodity","3","1","VEN-002","Photonica GmbH","Strategic","2.49","2023-03-23","2025-10-20","2.579","23","3851","230387.70","832","47667.01","62.4716","56.3850","54.7308","5.00","2.00","3.897","77.94","1.6542","1376.29"
"LOM-0060","Optical Coating Module 0060","Optical Coating","Standard","2","3","VEN-010","Vectra GmbH","Preferred","5.43","2023-06-01","2025-11-14","2.456","29","4745","141708.59","2386","68573.38","31.7883","28.5704","28.0257","5.00","2.00","4.253","85.06","0.5447","1299.65"
"LOM-0021","Precision Mount Module 0021","Precision Mount","Standard","3","4","VEN-020","Meridian Photonics Industries","Approved","12.07","2023-08-16","2025-11-27","2.283","25","2143","183592.36","995","84691.73","86.6152","83.9396","82.7110","2.00","1.50","1.365","68.25","1.2286","1222.46"
"LOM-0020","Optical Coating Component 0020","Optical Coating","Commodity","3","1","VEN-009","Oribel GmbH","Preferred","9.47","2023-05-04","2025-03-13","1.859","11","2099","126816.22","473","27966.22","62.4716","59.1252","56.7899","5.00","2.00","2.918","58.36","2.3353","1104.60"
"LOM-0091","Lens Assembly Component 0091","Lens Assembly","Commodity","3","1","VEN-034","Vectra Technologies","Transactional","34.49","2023-04-18","2025-11-12","2.571","10","856","261423.25","241","71111.39","314.1527","295.0680","290.4898","3.00","1.50","2.408","80.27","4.5782","1103.35"
"LOM-0124","Optical Coating Module 0124","Optical Coating","Standard","3","5","VEN-006","Northlight GmbH","Strategic","4.77","2023-07-12","2025-10-28","2.297","16","2338","327410.89","633","84013.59","147.5500","132.7229","131.1506","5.00","2.00","4.506","90.12","1.5723","995.27"
"LOM-0075","Lens Assembly Module 0075","Lens Assembly","Standard","3","5","VEN-036","Aperture Technologies","Transactional","30.07","2023-04-28","2025-12-29","2.672","31","2120","670358.59","726","223968.49","326.9255","302.7148","301.3719","3.00","1.50","2.838","94.60","1.3429","974.95"
"LOM-0060","Optical Coating Module 0060","Optical Coating","Standard","2","3","VEN-033","Oribel Technologies","Transactional","17.66","2023-03-17","2025-12-17","2.754","12","1497","52384.18","109","3835.50","31.7883","35.1881","27.6006","5.00","2.00","-3.758","-75.16","7.5875","827.03"
"LOM-0014","Fibre Connector Component 0014","Fibre Connector","Commodity","2","0","VEN-020","Meridian Photonics Industries","Approved","12.07","2023-01-23","2025-12-16","2.897","45","24453","281133.19","9823","103402.37","12.8643","10.4829","10.4251","7.00","2.00","6.823","97.47","0.0578","567.77"
"LOM-0093","Precision Mount Module 0093","Precision Mount","Standard","2","4","VEN-034","Vectra Technologies","Transactional","34.49","2023-02-08","2025-10-17","2.689","11","830","78584.02","212","19817.91","95.9011","93.4807","90.8302","2.00","1.50","0.946","47.30","2.6505","561.91"
"LOM-0088","Laser Diode Component 0088","Laser Diode","Commodity","3","1","VEN-005","Helix Optics GmbH","Strategic","1.75","2023-03-15","2025-11-19","2.683","38","3225","850281.54","1232","292146.16","297.1990","237.9596","237.6239","8.00","2.00","7.951","99.39","0.3357","413.64"
"LOM-0077","Precision Mount Assy 0077","Precision Mount","Critical","2","9","VEN-001","Lumitek GmbH","Strategic","1.37","2023-02-22","2025-12-31","2.856","37","2612","637297.78","675","159510.34","249.9879","236.3116","235.9721","2.00","1.50","1.951","97.55","0.3395","229.16"
"LOM-0007","Thermal Control Module 0007","Thermal Control","Standard","3","5","VEN-022","Vectra Industries","Approved","12.65","2023-05-10","2025-12-08","2.582","10","936","137581.18","399","55159.26","155.3694","134.7713","134.2550","5.50","2.00","5.360","97.45","0.5163","206.00"
"LOM-0015","Thermal Control Module 0015","Thermal Control","Standard","3","5","VEN-012","Aperture Industries","Preferred","4.72","2023-06-21","2025-11-24","2.428","11","960","79099.14","475","37684.18","88.5655","77.4258","77.1992","5.50","2.00","5.385","97.91","0.2266","107.64"
"LOM-0091","Lens Assembly Component 0091","Lens Assembly","Commodity","3","1","VEN-009","Oribel GmbH","Preferred","9.47","2023-04-14","2025-11-06","2.565","25","2181","669019.60","499","147169.33","314.1527","290.7165","290.5429","3.00","1.50","2.977","99.23","0.1736","86.64"
"LOM-0040","Laser Diode Component 0040","Laser Diode","Commodity","3","1","VEN-015","Crystalline Industries","Preferred","3.57","2023-04-14","2025-10-20","2.519","11","778","143259.60","200","33971.13","195.3514","157.5473","158.3427","8.00","2.00","8.184","102.30","-0.7954","-159.08"
"LOM-0029","Precision Mount Component 0029","Precision Mount","Commodity","3","1","VEN-034","Vectra Technologies","Transactional","34.49","2023-07-04","2025-12-11","2.439","10","758","117017.33","204","30472.91","158.0091","149.3770","150.4120","2.00","1.50","2.277","113.85","-1.0350","-211.14"
"LOM-0003","Lens Assembly Component 0003","Lens Assembly","Commodity","2","0","VEN-009","Oribel GmbH","Preferred","9.47","2023-04-26","2025-12-08","2.620","39","2593","180034.16","852","57621.64","72.6035","66.7854","67.0346","3.00","1.50","3.138","104.60","-0.2492","-212.32"
"LOM-0125","Precision Mount Component 0125","Precision Mount","Commodity","2","0","VEN-008","Meridian Photonics GmbH","Preferred","5.01","2023-07-17","2025-07-02","1.960","11","882","177905.60","114","22214.91","202.4723","191.2970","194.6116","2.00","1.50","2.855","142.75","-3.3146","-377.86"
"LOM-0077","Precision Mount Assy 0077","Precision Mount","Critical","2","9","VEN-024","Aperture Technologies","Approved","18.36","2023-02-22","2025-06-23","2.333","15","1270","309321.51","251","59673.77","249.9879","236.2289","238.4786","2.00","1.50","2.398","119.90","-2.2497","-564.67"
"LOM-0110","Fibre Connector Component 0110","Fibre Connector","Commodity","3","1","VEN-018","Northlight Industries","Approved","17.17","2023-12-15","2025-11-17","1.925","11","6412","150309.81","1448","31594.63","24.9508","21.2975","21.6977","7.00","2.00","7.896","112.80","-0.4002","-579.49"
"LOM-0140","Optical Coating Module 0140","Optical Coating","Standard","2","4","VEN-026","Photonica Technologies","Approved","9.22","2023-03-08","2025-12-08","2.754","11","2155","153669.84","488","33446.35","80.6367","68.5376","70.0138","5.00","2.00","5.732","114.64","-1.4762","-720.39"
"LOM-0045","Precision Mount Module 0045","Precision Mount","Standard","2","3","VEN-017","Helix Optics Industries","Approved","10.21","2023-04-11","2025-11-26","2.628","34","2905","612707.97","1427","296432.44","215.6098","203.7877","204.4611","2.00","1.50","2.123","106.15","-0.6734","-960.99"
"LOM-0004","Optical Coating Module 0004","Optical Coating","Standard","2","2","VEN-029","Helix Optics Technologies","Transactional","36.48","2023-01-20","2025-12-25","2.930","43","6634","469491.70","2120","138121.38","76.0924","64.9487","65.4744","5.00","2.00","5.262","105.24","-0.5257","-1114.42"
"LOM-0063","Thermal Control Component 0063","Thermal Control","Commodity","3","1","VEN-022","Vectra Industries","Approved","12.65","2023-04-03","2025-12-25","2.730","37","3270","774087.27","1435","314555.83","254.1553","216.9588","217.7850","5.50","2.00","5.632","102.40","-0.8262","-1185.60"
"LOM-0017","Photodetector Module 0017","Photodetector","Standard","2","4","VEN-018","Northlight Industries","Approved","17.17","2023-03-09","2025-12-29","2.809","39","2839","1234680.90","1207","490628.94","496.1843","409.1377","410.8212","6.50","2.00","6.637","102.11","-1.6835","-2031.98"
"LOM-0040","Laser Diode Component 0040","Laser Diode","Commodity","3","1","VEN-033","Oribel Technologies","Transactional","17.66","2023-03-31","2025-12-15","2.710","34","2632","459559.73","1097","170604.06","195.3514","153.9206","155.8409","8.00","2.00","8.419","105.24","-1.9203","-2106.57"
"LOM-0095","Thermal Control Component 0095","Thermal Control","Commodity","1","0","VEN-028","Spectra Technologies","Approved","8.62","2023-04-06","2025-12-05","2.667","61","4893","886857.56","1796","301950.75","194.8669","166.3007","167.5771","5.50","2.00","5.771","104.93","-1.2764","-2292.41"
"LOM-0051","Lens Assembly Assy 0051","Lens Assembly","Critical","1","6","VEN-029","Helix Optics Technologies","Transactional","36.48","2023-03-24","2025-10-17","2.568","44","3584","1008505.19","848","225360.51","290.4277","265.5249","268.5764","3.00","1.50","3.431","114.37","-3.0515","-2587.70"
"LOM-0018","Optical Fibre Component 0018","Optical Fibre","Commodity","3","1","VEN-031","Quantex Technologies","Transactional","14.93","2023-03-27","2025-12-15","2.721","31","33689","1157828.17","15621","518750.69","36.6648","32.6028","32.8103","4.00","1.50","4.223","105.58","-0.2075","-3241.01"
"LOM-0105","Photodetector Component 0105","Photodetector","Commodity","2","0","VEN-007","Quantex GmbH","Preferred","10.21","2023-05-30","2025-09-05","2.270","24","2007","205446.11","752","73352.48","107.5608","87.6443","92.3414","6.50","2.00","8.627","132.72","-4.6971","-3532.22"
"LOM-0080","Laser Diode Module 0080","Laser Diode","Standard","3","5","VEN-004","Spectra GmbH","Strategic","1.51","2023-01-16","2025-12-04","2.883","32","2280","998579.05","948","358229.94","501.9232","351.1076","394.6732","8.00","2.00","11.658","145.73","-43.5656","-41300.19"
"LOM-0112","Laser Diode Component 0112","Laser Diode","Commodity","2","0","VEN-004","Spectra GmbH","Strategic","1.51","2023-05-04","2025-12-23","2.639","36","2509","2164721.74","970","748493.18","990.2902","699.4987","794.6914","8.00","2.00","12.341","154.26","-95.1927","-92336.94"
"LOM-0050","Optical Fibre Module 0050","Optical Fibre","Standard","2","2","VEN-020","Meridian Photonics Industries","Approved","12.07","2023-05-23","2025-12-08","2.546","46","52764","1198647.57","16885","350455.91","28.9311","20.5132","26.0752","4.00","1.50","12.632","315.80","-5.5620","-93913.66"
